"sentiment","count"
"anger",1056
"anticipation",2129
"constraining",202
"disgust",597
"fear",1990
"joy",1540
"litigious",174
"negative",6486
"positive",8440
"sadness",1484
"superfluous",1
"surprise",1121
"trust",2654
"uncertainty",344
