"sentiment","count"
"anger",13688
"anticipation",22793
"constraining",1046
"disgust",6726
"fear",30959
"joy",20406
"litigious",917
"negative",77689
"positive",99063
"sadness",19484
"superfluous",6
"surprise",16257
"trust",31551
"uncertainty",4610
