"Word","Frequency"
"action",5
"amazing",3
"apparently",1
"appearing",1
"approaching",1
"ash",1
"attention",3
"award",1
"awards",1
"baby",1
"battled",1
"beast",1
"best",7
"better",3
"blame",1
"boom",1
"bout",1
"breaking",1
"bridge",6
"budget",1
"building",1
"butt",1
"catastrophe",1
"challenges",1
"change",1
"claim",1
"claims",1
"clear",1
"closed",1
"commemoration",1
"community",5
"complex",1
"complimentary",1
"contact",1
"critical",1
"damage",5
"dedicated",3
"deserved",1
"destroyed",1
"disaster",5
"diversion",1
"diverting",1
"diverts",1
"emergency",6
"essential",1
"evacuation",5
"false",1
"fast",1
"fellow",1
"fighting",1
"finally",3
"fire",2
"fleed",1
"flow",1
"food",5
"forget",1
"forward",1
"found",1
"full",1
"good",3
"grant",7
"great",1
"groundbreaking",1
"happy",1
"hard",3
"healing",5
"helped",1
"heroic",1
"hope",1
"hospital",1
"humbled",1
"humour",1
"ill",1
"important",1
"include",1
"included",1
"including",5
"incredibly",1
"infection",1
"informative",1
"innovation",6
"innovative",3
"integral",1
"integrated",1
"inventing",1
"inviting",1
"irreparable",5
"journalism",1
"journey",1
"kick",3
"lack",5
"late",1
"lead",1
"leadership",5
"leads",1
"learn",5
"level",1
"leverage",3
"like",1
"limited",1
"lingering",1
"long",1
"losses",1
"lost",1
"love",1
"lucky",1
"manage",3
"management",1
"maybe",6
"medical",1
"mislead",1
"missing",7
"neat",1
"negligent",1
"nomination",1
"official",1
"opportunities",1
"perhaps",1
"personal",1
"plan",3
"preparation",1
"prepared",1
"prevention",1
"primary",3
"pros",1
"proud",5
"provide",1
"providing",1
"radio",1
"real",3
"recommended",1
"recovery",8
"rein",1
"relief",7
"respect",1
"rest",3
"restored",1
"rising",1
"risk",1
"safe",5
"safely",1
"saver",1
"severe",1
"shape",3
"share",1
"shortsighted",1
"shot",6
"shut",1
"significant",3
"solid",1
"special",6
"stress",3
"study",5
"suggests",1
"supporting",1
"survival",1
"tale",1
"talk",1
"task",1
"tax",1
"team",5
"terrible",1
"thermometer",1
"time",1
"toxic",1
"tribute",3
"unexpected",1
"usual",1
"vigil",1
"volunteers",1
"vote",6
"well",1
"wild",1
"wildfire",4
"wins",6
"won",1
"work",9
"writ",1
"wrong",1
