"Word","Frequency"
"accused",1
"allegedly",5
"alliance",1
"almost",5
"appeal",4
"appropriate",1
"art",1
"beautiful",4
"best",1
"better",1
"burned",1
"burns",1
"burnt",1
"cancel",1
"challenge",1
"challenges",1
"change",1
"coming",1
"commemoration",1
"contaminated",5
"continue",4
"criticize",1
"crude",1
"damage",2
"dear",1
"died",1
"disaster",1
"disasters",1
"don",1
"dream",7
"evacuation",1
"explore",1
"facts",1
"failing",5
"fake",1
"fear",1
"festival",1
"fire",5
"food",8
"forward",4
"fundamental",1
"generosity",1
"gift",4
"good",1
"grateful",1
"guidance",1
"happen",7
"happy",1
"healing",1
"hope",4
"hurt",1
"important",4
"improprieties",1
"income",9
"leadership",1
"learning",1
"like",5
"losses",1
"lost",10
"love",1
"loving",1
"mature",1
"money",1
"nearly",6
"outrage",1
"postpone",1
"preparedness",1
"production",1
"professional",1
"pros",1
"protection",1
"radio",1
"real",4
"resilient",1
"share",1
"show",1
"slow",1
"study",1
"support",4
"talented",1
"thankful",4
"top",1
"track",1
"tragedy",1
"trauma",1
"trip",1
"truck",1
"true",8
"unholy",1
"unique",1
"victims",1
"wait",1
"well",1
"wildfire",3
"work",4
"worry",1
"worst",1
"wrong",1
