"Word","Frequency"
"able",22
"accessible",9
"acclaimed",1
"accommodation",1
"accomplished",1
"advancement",1
"advice",9
"afford",1
"aftermath",14
"against",1
"ahead",16
"amazing",14
"announcement",1
"anticipated",1
"appalling",1
"applause",9
"appreciate",1
"appreciates",1
"approve",1
"art",1
"ashes",1
"assist",14
"assistance",14
"associate",1
"attempt",1
"attention",1
"auction",1
"available",19
"avoid",1
"awesome",1
"baby",9
"bad",16
"baffled",1
"bank",23
"battle",1
"battlefield",1
"beach",1
"beast",1
"believe",1
"best",23
"better",1
"blame",1
"board",1
"boxing",9
"break",14
"breaks",9
"broken",1
"budget",1
"build",14
"building",9
"bullshit",1
"burn",1
"burned",16
"burns",9
"burnt",16
"busted",1
"calls",25
"cancel",14
"candidate",1
"case",1
"celebrate",1
"challenges",9
"chance",9
"change",9
"citizen",1
"clear",14
"clearly",1
"collapse",1
"collapsing",1
"coming",3
"commemorative",14
"committed",1
"committee",23
"communication",14
"community",4
"concern",9
"confidence",1
"confusion",1
"cons",1
"constant",1
"contend",1
"content",9
"continue",9
"contribute",1
"contribution",1
"cool",1
"copy",1
"correct",1
"could",19
"council",25
"cover",9
"crash",1
"credit",1
"crisis",1
"crude",9
"damage",19
"damaged",9
"debate",1
"debris",16
"debt",9
"defended",1
"defense",1
"defer",9
"deficit",8
"delay",1
"delayed",1
"delicious",1
"demand",14
"demolition",9
"denied",1
"despair",1
"despite",1
"destroyed",9
"destroys",1
"destruction",1
"dinner",1
"disappointed",1
"disaster",9
"disasters",1
"donation",25
"dream",1
"drone",14
"drones",9
"dropped",1
"dust",1
"easily",1
"economy",14
"edition",16
"effort",1
"emergency",16
"encore",1
"enough",16
"essential",16
"evacuation",1
"excited",9
"expect",1
"expensive",1
"experienced",14
"explore",1
"fail",1
"fairly",1
"familiar",1
"fans",9
"fast",1
"fastest",1
"faulty",1
"favor",9
"favour",1
"feature",1
"feeling",9
"fellow",1
"fight",1
"fighting",1
"finally",1
"finest",1
"fire",13
"flexibility",1
"flood",14
"food",18
"force",14
"forecast",1
