"Word","Frequency"
"able",1
"accomplished",4
"against",4
"agree",1
"airport",1
"almost",1
"amazing",4
"appreciative",1
"ashes",8
"attention",1
"awesome",1
"baby",1
"battle",4
"beach",5
"beast",1
"beautiful",4
"beloved",1
"best",4
"better",1
"biblical",1
"board",4
"boom",1
"burden",1
"burning",8
"calls",1
"candidate",1
"coming",5
"committee",1
"community",5
"constant",1
"contact",1
"continue",4
"cool",4
"could",5
"damage",1
"demand",4
"deserve",1
"disaster",4
"donation",4
"easy",4
"economy",1
"edition",1
"escaped",1
"evacuation",4
"expected",1
"extra",1
"extraordinarily",4
"faith",1
"fellow",1
"fire",2
"forget",4
"forgotten",1
"forward",4
"found",1
"friend",4
"full",4
"generosity",1
"generous",7
"genuine",1
"glad",1
"gloom",1
"good",5
"government",4
"grand",4
"grateful",4
"great",6
"grow",1
"handsome",1
"hang",1
"happy",1
"healing",1
"healthy",1
"heartwarming",1
"helped",6
"helping",4
"hero",1
"hospital",1
"hospitality",1
"important",4
"incredible",4
"innovation",1
"issue",1
"jackpot",1
"kind",5
"kindness",1
"leadership",1
"led",4
"liberal",1
"lies",1
"like",4
"lonely",5
"lost",7
"lottery",6
"love",1
"lovely",1
"loves",1
"luck",1
"lucky",1
"magic",4
"major",1
"marry",6
"miracle",4
"money",1
"nice",1
"openly",1
"plan",1
"player",1
"plenary",1
"possible",4
"precious",1
"pretty",4
"prize",1
"profound",1
"promise",1
"pros",1
"proving",1
"questioning",1
"recover",1
"recovery",1
"retirement",4
"sad",1
"serve",1
"shame",1
"share",4
"sing",1
"spirit",1
"sunshine",1
"support",4
"surprise",1
"surprised",1
"survive",1
"survivor",4
"sweet",1
"syndrome",1
"talented",1
"talk",1
"thank",1
"thrilled",1
"time",4
"top",9
"tops",4
"tragedy",1
"tribute",7
"truth",1
"unable",1
"victim",4
"victims",4
"watch",1
"wealth",1
"whirlwind",1
"wild",4
"wildfire",3
"win",1
"wins",6
"wisdom",4
"wonderful",4
"words",1
"work",6
"young",1
