"Word","Frequency"
"against",1
"aid",1
"allegations",7
"alleging",2
"angry",1
"announcement",1
"ashes",1
"baby",3
"bad",7
"badly",1
"battle",1
"boom",2
"burn",1
"burned",1
"burnt",1
"career",1
"charity",1
"coming",1
"concerns",1
"contaminated",2
"continue",2
"cool",1
"could",2
"destroyed",1
"disaster",2
"effort",1
"emergency",4
"evacuation",6
"explosion",1
"fallout",1
"feat",1
"fire",8
"food",9
"forward",1
"found",1
"frustration",1
"gap",1
"giving",1
"good",1
"great",2
"heavily",1
"helped",1
"hit",1
"honored",1
"important",2
"including",1
"invite",1
"issues",1
"join",1
"kind",1
"lawsuit",6
"lawsuits",1
"leading",1
"like",2
"losses",1
"lost",1
"loved",1
"manipulation",1
"organization",1
"planning",1
"present",1
"radio",1
"reason",2
"recover",1
"recovery",3
"regrets",1
"related",1
"relief",1
"resident",1
"rest",1
"restored",1
"safely",1
"seems",1
"shameful",1
"shooting",1
"show",1
"small",1
"smart",1
"spirit",1
"start",1
"strong",1
"study",1
"sued",1
"support",3
"supporting",1
"symptoms",1
"talk",1
"tariff",1
"time",2
"toll",1
"victims",1
"well",1
"wildfire",5
"work",1
"working",1
