month,count
16-05-01,105674
16-06-01,8024
16-07-01,2186
16-08-01,874
16-09-01,359
16-10-01,302
16-11-01,258
16-12-01,154
17-01-01,90
17-02-01,76
17-03-01,202
17-04-01,216
17-05-01,990
17-06-01,164
17-07-01,108
17-08-01,15
17-09-01,20
17-10-01,10
17-11-01,5
17-12-01,26
18-01-01,2
18-02-01,8
18-03-01,7
18-04-01,16
18-05-01,85
18-06-01,4
18-07-01,4
18-08-01,6
18-09-01,5
18-10-01,16
18-11-01,18
18-12-01,1
19-01-01,4
