"","username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"1",NA,2017-08-29 08:47:00,0,0,"An interesting example of local #CSR by MNEs in a #disaster context. #Harvey2017 Similar to what we saw in #ymmfire http:// thehill.com/blogs/blog-bri efing-room/348348-anheuser-busch-sends-water-cans-to-harvey-victims?amp …",NA,NA,"#CSR #disaster #Harvey2017 #ymmfire",902513062036611072,"https://twitter.com/KristenPue/status/902513062036611076"
"2",NA,2017-08-28 00:46:00,0,0,"What we take and what we leave behind: Memorializing Abasand. #ymm #ymmfire http:// yourmcmurraymagazine.com/index.php?opti on=com_k2&view=item&id=2006:what-we-take-and-what-we-leave-behind-memorializing-abasand-june-2016-august-2016&Itemid=780 …",NA,NA,"#ymm #ymmfire",902029634191089664,"https://twitter.com/peterfortna/status/902029634191089664"
"3",NA,2017-08-26 18:38:00,1,2,"#StrathearnArtWalk sponsor Swift Oilfiled Supply is lending us the same trailer we used last year for our #Ymmfire donation drive - thanks!",NA,NA,"#StrathearnArtWalk #Ymmfire",901574668120764416,"https://twitter.com/StrathearnCL/status/901574668120764420"
"4",NA,2017-08-26 13:16:00,5,6,"One year ago today was a beautiful day of celebration for the #FMCSD family! We celebrated #Grad2016 at home! #WeAreFMCSD #ymm #ymmfire pic.twitter.com/Qf9lwBJfgk",NA,NA,"#FMCSD #Grad2016 #WeAreFMCSD #ymm #ymmfire",901493612248051712,"https://twitter.com/FMCSD/status/901493612248051716"
"5",NA,2017-08-21 09:53:00,0,0,"First time seeing the aftermath of the #YMMfire for myself. Sobering. http:// ift.tt/2vWQ9ke pic.twitter.com/bO6Z7BjAc1",NA,NA,"#YMMfire",899630505276182528,"https://twitter.com/wtf_dragon/status/899630505276182529"
"6",NA,2017-08-18 10:26:00,1,12,"470 days between The Beast and being a home owner again! #YMM #YMMFire #YMMRebuild pic.twitter.com/wMkR92QKoV",NA,NA,"#YMM #YMMFire #YMMRebuild",898551567741210624,"https://twitter.com/MapleWicket/status/898551567741210625"
"7",NA,2017-08-09 13:42:00,9,12,"President Macdonald discussing @AlbertaFFA role in the #ymmfire at the 2017 Redmond. #IAFFRedmond17 pic.twitter.com/2eYL6XBYSu",NA,"@AlbertaFFA","#ymmfire #IAFFRedmond17",895339547839447040,"https://twitter.com/AlbertaFFA/status/895339547839447042"
"8",NA,2017-08-09 13:32:00,6,5,"@FMFA2494 President Van Hecke sharing his experiences during the #ymmfire at the #IAFFRedmond17 pic.twitter.com/PNznJG2xNU",NA,"@FMFA2494","#ymmfire #IAFFRedmond17",895336902802366464,"https://twitter.com/AlbertaFFA/status/895336902802366464"
"9",NA,2017-08-08 23:20:00,0,0,"With #wildfires getting bigger, faster and hotter...is this the new normal? We'll discuss exactly that at 11pm! #wildfire #ymmfire",NA,NA,"#wildfires #wildfire #ymmfire",895122465713606656,"https://twitter.com/ABPrimetime/status/895122465713606657"
"10",NA,2017-08-08 15:52:00,0,2,"From our #ftmcuglycat to yours. Happy #InternationalCatDay ! #ymm #ymmfire @FtMcUglyCat https:// twitter.com/StillStandingT V/status/894961067511619584 …",NA,"@FtMcUglyCat","#ftmcuglycat #InternationalCatDay #ymm #ymmfire",895009721723138048,"https://twitter.com/peterfortna/status/895009721723138048"
"11",NA,2017-08-07 16:32:00,9,1,"#AB man loses 2 homes in 2 #wildfires a year apart. Jason Schurman's Beacon Hill house burned down in #ymmfire 2nd home lost in #BCwildfire pic.twitter.com/GXlG1eKg5C",NA,NA,"#AB #wildfires #ymmfire #BCwildfire",894657521583042560,"https://twitter.com/JThompsonCTV/status/894657521583042562"
"12",NA,2017-08-05 20:53:00,1,1,"So pretty much the same SFA from Trudeau for #bcwildfires as #ymmfire got- FTMac sill waiting for $ pm socks promised",NA,NA,"#bcwildfires #ymmfire",893998317880786944,"https://twitter.com/JohnnieOil/status/893998317880786945"
"13",NA,2017-08-05 14:48:00,0,0,"*shrug* if @KikkiPlanet 's not sorry for singal boosting libel about a #ymmfire fundraiser, I'm not sorry for mocking her unimpressive CV. pic.twitter.com/qXpMPVeqDJ",NA,"@KikkiPlanet","#ymmfire",8.93906496832e+17,"https://twitter.com/OutlawTory/status/893906496832000001"
"14",NA,2017-08-05 13:08:00,0,0,"Lesson learned with total losses from #ymmfire #truth https:// twitter.com/theminimalists /status/893768292795650048 …",NA,NA,"#ymmfire #truth",893881463497662464,"https://twitter.com/SaskRoots/status/893881463497662464"
"15",NA,2017-08-02 13:07:00,1,1,"My goal for today is to finish reading all of this. #momlife #ymm #goals #summerreading #ymmfire https://www. instagram.com/p/BXTJkJeDCJs/",NA,NA,"#momlife #ymm #goals #summerreading #ymmfire",892794002520539136,"https://twitter.com/MurphyVerna/status/892794002520539138"
