"","username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"1902",NA,2016-07-05 16:47:00,1,1,"This is great news! Thanks to the First Responders for their diligence in this. #ymmstrong #ymm #ymmfire https:// twitter.com/AlbertaWildfir e/status/750364584943292416 …",NA,NA,"#ymmstrong #ymm #ymmfire",750430971984539648,"https://twitter.com/911TheBridge/status/750430971984539648"
"1903",NA,2016-07-05 16:37:00,3,1,"Weeks after devastating Fort McMurray, ""The Beast"" is finally under control --> http:// tinyurl.com/zxswnkq #ymmfire pic.twitter.com/WaIC1YaIsN",NA,NA,"#ymmfire",750428305585610752,"https://twitter.com/rdnewsNOW/status/750428305585610753"
"1904",NA,2016-07-05 16:28:00,3,2,"July 12; Webinar ""Why some homes survived: Learning from the #FortMcMurray fire #disaster "" GMT15.00/ET10.00 #ymmfire https:// twitter.com/IAEMCdnCouncil /status/750419578291884032 …",NA,NA,"#FortMcMurray #disaster #ymmfire",750426194064076800,"https://twitter.com/gavindbrown/status/750426194064076800"
"1905",NA,2016-07-05 16:15:00,5,6,"WOO HOO! The Fort Mac Fire is under control!!! (they thought it would burn uncontrolled all year) http://www. cbc.ca/news/canada/ed monton/fort-mcmurray-wildfire-now-considered-under-control-1.3664947 … #ymmfire #ABfire",NA,NA,"#ymmfire #ABfire",750422930060746752,"https://twitter.com/alisonborealis/status/750422930060746752"
"1906",NA,2016-07-05 16:03:00,7,12,"$1 for each #Donair sold at #CBMF2016 will be donated to @redcrosscanada for #ymmfire relief! #DonairCountry pic.twitter.com/xG0phedu9h",NA,"@redcrosscanada","#Donair #CBMF2016 #ymmfire #DonairCountry",750419961806487552,"https://twitter.com/DonairMr/status/750419961806487552"
"1907",NA,2016-07-05 15:58:00,0,0,"Crazy to think it's still going two months later. Remember to praise first responders every chance you get. #ymmfire https:// twitter.com/AlbertaWildfir e/status/750364584943292416 …",NA,NA,"#ymmfire",750418520257683456,"https://twitter.com/KCampbellyeg/status/750418520257683457"
"1908",NA,2016-07-05 15:49:00,0,0,"That's good news! Hear how the #ymmfire impacted the bond between a family & their cats, on Ep.17 #podcast https:// twitter.com/edmontonjourna l/status/750405489884798977 …",NA,NA,"#ymmfire #podcast",750416335125950464,"https://twitter.com/petsoundsradio/status/750416335125950465"
"1909",NA,2016-07-05 15:42:00,4,2,"Fort McMurray wildfire officially under control, search for cause continues #ymmfire http:// ow.ly/RBPY301X7M4 #yeg pic.twitter.com/0kSOtgc3YL",NA,NA,"#ymmfire #yeg",750414692003315712,"https://twitter.com/Edmontonsun/status/750414692003315712"
"1910",NA,2016-07-05 15:17:00,0,0,"Great to hear! ~ @charlee993 #ymmfire #yeg https:// twitter.com/GlobalEdmonton /status/750387397591007232 …",NA,"@charlee993","#ymmfire #yeg",750408340258189312,"https://twitter.com/up993/status/750408340258189312"
"1911",NA,2016-07-05 15:06:00,0,2,"Great news! #ymmfire footprint covers 589,552 hectares but finally under control reports @FortMacToday http://www. fortmcmurraytoday.com/2016/07/04/for t-mcmurray-wildfire-under-control-threat-level-low …",NA,"@FortMacToday","#ymmfire",750405554250522624,"https://twitter.com/johnwtomkinson/status/750405554250522625"
"1912",NA,2016-07-05 14:35:00,7,13,"“Stuff the Bus” raises highest-ever parade cash donation to @WBFoodBank http://www. mix1037fm.com/2016/07/05/stu ff-the-bus-raises-highest-ever-parade-cash-donation-to-food-bank/#.V3v9uOjIMpg.twitter … #ymmfire #ymm #rmwb pic.twitter.com/giUfusdSyp",NA,"@WBFoodBank","# #ymmfire #ymm #rmwb",750397782653956096,"https://twitter.com/Mix1037FMNews/status/750397782653956096"
"1913",NA,2016-07-05 14:35:00,0,2,"“Stuff the Bus” raises highest-ever parade cash donation to @WBFoodBank http://www. mix1037fm.com/2016/07/05/stu ff-the-bus-raises-highest-ever-parade-cash-donation-to-food-bank/#.V3v9uOjIMpg.twitter … #ymmfire #ymm #rmwb pic.twitter.com/7CbgecoHog",NA,"@WBFoodBank","# #ymmfire #ymm #rmwb",750397782616182784,"https://twitter.com/Vandecision/status/750397782616182784"
"1914",NA,2016-07-05 14:29:00,1,0,"After starting on 1 May 2016 and burning 1,456,815 acres the #YMMFire (Fort McMurray) in Alberta, Canada is now declared under control!",NA,NA,"#YMMFire",750396108774400000,"https://twitter.com/SeverePlains/status/750396108774400000"
"1915",NA,2016-07-05 14:28:00,10,13,"A #FortMcMurray woman shares experiences with #RedCross across Alberta: http:// bit.ly/29nESin #ymmfire #ABfire pic.twitter.com/ExSQ9QTo2A",NA,NA,"#FortMcMurray #RedCross #ymmfire #ABfire",750395857388834816,"https://twitter.com/redcrosscanada/status/750395857388834816"
"1916",NA,2016-07-05 14:18:00,1,1,"Read the latest @AHS_NorthZone #ymmfire info here: http:// bit.ly/1ROyeO7 #rmwb #ymm",NA,"@AHS_NorthZone","#ymmfire #rmwb #ymm",750393406619136000,"https://twitter.com/NorLightsHealth/status/750393406619136000"
"1917",NA,2016-07-05 14:03:00,0,4,"Fort McMurray wildfire under control thanks to firefighting efforts, rain: http://www. 660news.com/2016/07/05/for t-mcmurray-wildfire-under-control-thanks-to-firefighting-efforts-rain-2/ … #ymm #ymmfire pic.twitter.com/ng2SMc7pCe",NA,NA,"#ymm #ymmfire",750389643774922752,"https://twitter.com/660NEWS/status/750389643774922752"
"1918",NA,2016-07-05 14:03:00,2,1,"We are going to sell this thing out! Something like this may never happen again. Get your tickets here: http:// ow.ly/Ufdz301HcXF #ymmfire",NA,NA,"#ymmfire",750389558714380288,"https://twitter.com/Startups_Care/status/750389558714380288"
"1919",NA,2016-07-05 13:56:00,0,0,"Fort McMurray wildfire: 'The beast' finally under control #ymm #ymmfire http:// bit.ly/29w9KxA",NA,NA,"#ymm #ymmfire",750387895089803264,"https://twitter.com/CaleyRamsay/status/750387895089803265"
"1920",NA,2016-07-05 13:56:00,1,1,"Thanks for the support @charliesmithvcr #ymmfire #yvrtech",NA,"@charliesmithvcr","#ymmfire #yvrtech",750387779092250624,"https://twitter.com/EventbaseTech/status/750387779092250624"
"1921",NA,2016-07-05 13:54:00,11,19,"Fort McMurray wildfire: 'The beast' finally under control #ymm #ymmfire http:// glbn.ca/rNggCO",NA,NA,"#ymm #ymmfire",750387397591007232,"https://twitter.com/GlobalEdmonton/status/750387397591007232"
"1922",NA,2016-07-05 13:47:00,0,4,"President's Update from @sspenceley of @AlbertaRNs #thebestinus RN's responding to #ymmfire #thankyou #nurses pic.twitter.com/6NmaWwNBoz",NA,"@sspenceley @AlbertaRNs","#thebestinus #ymmfire #thankyou #nurses",750385735081996288,"https://twitter.com/tracyohn/status/750385735081996288"
"1923",NA,2016-07-05 13:46:00,0,1,"Fort McMurray wildfire brought under control #gpab #ymm #ymmfire http://www. mygrandeprairienow.com/20050/fort-mcm urray-wildfire-brought-control/ … pic.twitter.com/mcBMXxog90",NA,NA,"#gpab #ymm #ymmfire",750385470824034304,"https://twitter.com/2dayFMNewsGP/status/750385470824034305"
"1924",NA,2016-07-05 13:35:00,1,1,"Council addressing property taxes, higher fees for outside contractors http://www. mix1037fm.com/2016/07/05/cou ncil-addressing-property-taxes-higher-fees-for-outside-contractors/#.V3vvNHr4v2I.twitter … #ymmfire #ymm #rmwb pic.twitter.com/CwNiV2GF9D",NA,NA,"# #ymmfire #ymm #rmwb",750382528213635072,"https://twitter.com/Mix1037FMNews/status/750382528213635072"
"1925",NA,2016-07-05 13:35:00,0,0,"Council addressing property taxes, higher fees for outside contractors http://www. mix1037fm.com/2016/07/05/cou ncil-addressing-property-taxes-higher-fees-for-outside-contractors/#.V3vvNHr4v2I.twitter … #ymmfire #ymm #rmwb pic.twitter.com/DbHkTSWPit",NA,NA,"# #ymmfire #ymm #rmwb",750382528205234176,"https://twitter.com/Vandecision/status/750382528205234176"
"1926",NA,2016-07-05 13:32:00,17,20,"Fort McMurray wildfire now under control; officials thank firefighters, partners http:// ow.ly/HePD301WPDa #ymmfire pic.twitter.com/nHK2Ld1SbV",NA,NA,"#ymmfire",750381867568857088,"https://twitter.com/thestarcalgary/status/750381867568857089"
