"","username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"1",NA,2017-10-29 23:24:00,1,8,"#ymm #ymmfire #ableg #ucp #abndp #abparty https:// twitter.com/JasonVdzwaag/s tatus/924827382661435394 …",NA,NA,"#ymm #ymmfire #ableg #ucp #abndp #abparty",924839433999867904,"https://twitter.com/peterfortna/status/924839433999867904"
"2",NA,2017-10-28 19:54:00,0,0,"Anyone remember the Press conference with @BrianJeanAB , @RachelNotley after #ymmfire ? Jean was crying. Actually crying. Raw emotition.",NA,"@BrianJeanAB @RachelNotley","#ymmfire",924424261816664064,"https://twitter.com/BradLindseth/status/924424261816664064"
"3",NA,2017-10-28 12:28:00,0,3,"Welcome home Poppy. scarlett_built_homes_ #ymmfire #ymmrebuild @Fort mcmurray, alberta https://www. instagram.com/p/BazGSxRD529/",NA,"@Fort","#ymmfire #ymmrebuild",924312014171734016,"https://twitter.com/SchwabErin/status/924312014171734016"
"4",NA,2017-10-28 12:22:00,1,0,"#fortmcmurray #ymmfire #ableg #abpoli https:// twitter.com/LaurelCoons/st atus/924048721091940352 …",NA,NA,"#fortmcmurray #ymmfire #ableg #abpoli",924310416661954560,"https://twitter.com/AdamskiPeter/status/924310416661954560"
"5",NA,2017-10-26 16:40:00,1,1,"Siding!!! So exciting to see progress! #home #ournewplace #ymmfire … https://www. instagram.com/p/BauZfWDBAYPi rRrbOeg4pycutpT2oXcCnQyAlc0/ …",NA,NA,"#home #ournewplace #ymmfire",923650533507735552,"https://twitter.com/rachel_bayes/status/923650533507735552"
"6",NA,2017-10-24 16:53:00,1,2,". @InsuranceBureau 's Western VP Bill Adams on Role of #insurance #industry during / post #ymmfire at Saskatchewan Emergency Planners Assoc. pic.twitter.com/LxjK2kVq7R",NA,"@InsuranceBureau","#insurance #industry #ymmfire",922929113001873408,"https://twitter.com/IBC_West/status/922929113001873413"
"7",NA,2017-10-24 14:57:00,1,0,"Seeing whole trees fall due to wind along #hwy63 in areas affected by #ymmfire stay out of the forest & off trails #ymm",NA,NA,"#hwy63 #ymmfire #ymm",922899842707308544,"https://twitter.com/YMMcitizen/status/922899842707308544"
"8",NA,2017-10-11 16:59:00,0,0,"The Fubar boys take on #yyc after fleeing #ymmfire . Too soon for wildfire jokes, or all in good fun, #ymm ? #yeg #ableg *foul language https:// twitter.com/viceland_ca/st atus/918174374640828416 …",NA,NA,"#yyc #ymmfire #ymm #yeg #ableg",918219615360114688,"https://twitter.com/JSJamato/status/918219615360114688"
"9",NA,2017-10-10 10:51:00,0,0,"#CaliforniaFires remind me of #ymmfire . Real life horror. #FirstResponders are real life heroes",NA,NA,"#CaliforniaFires #ymmfire #FirstResponders",917764645602988032,"https://twitter.com/Pain_In_The_Art/status/917764645602988032"
"10",NA,2017-10-03 10:28:00,0,0,"Edmonton is an incredible city. Couldn't have been treated better by the people there during the #YMMFire evacuation. https:// twitter.com/EdmontonOilers /status/914614385796173824 …",NA,NA,"#YMMFire",915222121302937600,"https://twitter.com/RobinSmithEsq/status/915222121302937600"
