"","username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"1",NA,2018-07-30 18:20:00,3,1,"Ya en el incendio de Fort McMurray #ymmfire algunos bomberos recordaban su estupor al ver que el pirocúmulo formado creaba rayos que iniciaban nuevos focos a sus espaldas. Luego se vieron cada vez mas los tornados de fuego, algo que no era nuevo pero sí muy poco habitual",NA,NA,"#ymmfire",1024057167836573696,"https://twitter.com/WildlandFirefig/status/1024057167836573696"
"2",NA,2018-07-30 11:49:00,9,5,"@RachelNotley @albertaNDP @YourAlberta @Leah_McRorie #ymmfire It is time to review Rachel Notley's attitude toward Deaf & Accessibility people lately about Alberta Emergency events - #ymmfire Beautiful #AccessibilityLens in #CarrFire Update - LIVE with ASL Interpreter pic.twitter.com/9nA4K1rLtw",NA,"@RachelNotley @albertaNDP @YourAlberta @Leah_McRorie","#ymmfire #ymmfire #AccessibilityLens #CarrFire",1023958729610473472,"https://twitter.com/AccessLens/status/1023958729610473473"
"3",NA,2018-07-24 00:15:00,0,1,"Planting trees, like a pro! Helping rebuild after the devastating fires of 2016, one tree at a time #FRIAA #ymm #albertawildfire #ymmfire #ableg https://www. instagram.com/p/BlmcPTHjG_Aj 511eVjXNJ77YmrenuXXqfV_Hnk0/?utm_source=ig_twitter_share&igshid=ci0irbhgld4x …",NA,NA,"#FRIAA #ymm #albertawildfire #ymmfire #ableg",1021609900198305792,"https://twitter.com/Jenny_Renner/status/1021609900198305792"
"4",NA,2018-06-30 22:15:00,9,3,"I have noticed about Rachel Notley's attitude toward Deaf & Accessibility people lately. My first impression of Rachel disregarding about Alberta Emergency events - #ymmfire without Sign Language Interpreters to stand beside her. She avoids it and No Accessibility Office (AO) pic.twitter.com/vklsyWoZdU",NA,NA,"#ymmfire",1013244754111315968,"https://twitter.com/macjbby/status/1013244754111315968"
