"","username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"1",NA,2016-10-29 15:06:00,3,2,"Join me on Tuesday, Nov 1 @wbrl_ab for the launch of the Fire and Sky anthology. How poetry captures #ymmfire #ymm #ymmarts @ArtsCouncilWB pic.twitter.com/L0ppveb1mf",NA,"@wbrl_ab @ArtsCouncilWB","#ymmfire #ymm #ymmarts",792442516293292032,"https://twitter.com/KiranMK0822/status/792442516293292032"
"2",NA,2016-10-29 10:56:00,0,2,"#whiskey stills. #ymm #ymmfire #video #ilovemyjob pic.twitter.com/l4fjtzjrfq",NA,NA,"#whiskey #ymm #ymmfire #video #ilovemyjob",792379645467299840,"https://twitter.com/philiplharrison/status/792379645467299840"
"3",NA,2016-10-28 23:27:00,0,0,"http:// m.huffpost.com/ca/entry/12662 124 … #ymmfire #whiskey https:// twitter.com/jleetherealme/ status/792189112375648256 …",NA,NA,"#ymmfire #whiskey",792206256370888704,"https://twitter.com/philiplharrison/status/792206256370888704"
"4",NA,2016-10-28 23:22:00,0,1,"#Filming the distilling launch of the Beast #whiskey made from malt that was smoked by the #ymm #ymmfire pic.twitter.com/Ew43lWeVc0",NA,NA,"#Filming #whiskey #ymm #ymmfire",792205053016707072,"https://twitter.com/philiplharrison/status/792205053016707072"
"5",NA,2016-10-28 22:19:00,0,1,"@MooseHavenLodge Thank you for all the support and help offered during #ymmfire evacuation.",NA,"@MooseHavenLodge","#ymmfire",792189178503045120,"https://twitter.com/rahmandoreen/status/792189178503045120"
"6",NA,2016-10-28 19:54:00,1,3,"Nathan Berube reads his poem ""Ash Wednesday,"" inspired by #ymmfire #ymm pic.twitter.com/yLNuTIt6wy",NA,NA,"#ymmfire #ymm",792152618583805952,"https://twitter.com/NorthWordYMM/status/792152618583805952"
"7",NA,2016-10-28 18:38:00,0,1,"Une cérémonie pour rendre hommage aux premiers répondants du #ymmfire à Fort McMurray est organisée à Edmonton lundi par le gouvernement.",NA,NA,"#ymmfire",792133354024005632,"https://twitter.com/GeNormand/status/792133354024005632"
"8",NA,2016-10-28 11:55:00,0,0,"So exciting! @classified is coming to #ymm & raising money for us! http://www. classifiedofficial.com #ymmstrong #ymmfire pic.twitter.com/lS4id4H7u5",NA,"@classified","#ymm #ymmstrong #ymmfire",792031931890139136,"https://twitter.com/WBFoodBank/status/792031931890139136"
"9",NA,2016-10-28 11:25:00,0,1,"Insured losses of 2016 #FortMac #ymmfire range from $3.6-$4.7B USD, far in excess of anything seen before in Canada http://www. castanet.net/news/Kelowna/1 79323/All-eyes-on-Fort-Mac …",NA,NA,"#FortMac #ymmfire",792024435523850240,"https://twitter.com/raenvald/status/792024435523850241"
"10",NA,2016-10-28 10:14:00,9,7,"Fort McMurray wildfire: Calls for 2nd highway out of #ymm after '88K near misses' during #ymmfire mass exodus. #yeg http:// glbn.ca/Jbl9th",NA,NA,"#ymm #ymmfire #yeg",792006544888098816,"https://twitter.com/GlobalEdmonton/status/792006544888098817"
"11",NA,2016-10-28 06:39:00,0,1,"#Flashbackfriday to working through all this. #photojournalism #photos #photography #ymmfire … https://www. instagram.com/p/BMGoCi2hbDm/",NA,NA,"#Flashbackfriday #photojournalism #photos #photography #ymmfire",791952409627025408,"https://twitter.com/NovaCanuck/status/791952409627025411"
"12",NA,2016-10-27 22:01:00,1,0,"Please share. Time sensitive information for the uninsured/underinsured victims of ymm wildfire. #ymmfire pic.twitter.com/5ETGkLcLZr",NA,NA,"#ymmfire",791822253012848640,"https://twitter.com/Canadiana88/status/791822253012848640"
"13",NA,2016-10-27 21:38:00,1,2,"WATCH: @BillFortierCTV has the story behind The Beast whisky from @WoodBuffaloBrew : http:// edmonton.ctvnews.ca/video?clipId=9 82157&binId=1.1203428&playlistPageNum=1 … #yeg #ymm #ymmfire",NA,"@BillFortierCTV @WoodBuffaloBrew","#yeg #ymm #ymmfire",791816316164444160,"https://twitter.com/ctvedmonton/status/791816316164444160"
"14",NA,2016-10-27 18:34:00,0,1,"Proud of my brother Hoff, #ymmfire fighter. https:// twitter.com/YourAlberta/st atus/791395786550448128 …",NA,NA,"#ymmfire",791770142724067328,"https://twitter.com/ahoffman7784/status/791770142724067328"
"15",NA,2016-10-27 18:05:00,0,0,"MT @RachelNotley : Hearing #ymm social services sector. Helping others while coping with their own #ymmfire aftermath pic.twitter.com/zPS0ecyhZ9",NA,"@RachelNotley","#ymm #ymmfire",791762713940721664,"https://twitter.com/peterfortna/status/791762713940721664"
"16",NA,2016-10-27 16:53:00,0,0,"News Release: BigSteelBox opens in Fort McMurray for $3.5 billion rebuild #FortMcMurray #ymmfire http:// ow.ly/POnL305BF4G pic.twitter.com/cLKm4wxX3g",NA,NA,"#FortMcMurray #ymmfire",791744765175984128,"https://twitter.com/dHzMedia/status/791744765175984128"
"17",NA,2016-10-27 15:55:00,0,0,"The #Beast , un #whiskey pour les sinistrés de #FortMcMurray | Le café show http:// ici.radio-canada.ca/emissions/le_c afe_show/2015-2016/chronique.asp?idChronique=420305 … #ymmfire pic.twitter.com/SXGTbIoR3F",NA,NA,"#Beast #whiskey #FortMcMurray #ymmfire",791729937380016128,"https://twitter.com/icialberta/status/791729937380016128"
"18",NA,2016-10-27 13:08:00,1,1,"Won't the whiskey have toxins in it? #ymmfire",NA,NA,"#ymmfire",791687925113118720,"https://twitter.com/JonDziadyk/status/791687925113118720"
"19",NA,2016-10-27 09:26:00,1,3,"ICYMI: Fort McMurray area overpass named ""Responders Way"" for efforts during #ymmfire . #Abgov http:// bit.ly/2dLBSRF pic.twitter.com/tCP6cwrrJc",NA,NA,"#ymmfire #Abgov",791632137799790592,"https://twitter.com/770CHQR/status/791632137799790593"
"20",NA,2016-10-27 08:45:00,0,1,"RT @BreannaCTV : Province announces this now iconic bridge in #ymm will be re-named Responders Way Bridge. #ymmfire pic.twitter.com/WZsJ5AiFrw",NA,"@BreannaCTV","#ymm #ymmfire",791621800060919808,"https://twitter.com/peterfortna/status/791621800060919809"
"21",NA,2016-10-27 08:10:00,0,0,"MT @RachelNotley : Catching up with amazing #ymm 1st Responders. Thank you for helping during #ymmfire & recovery. pic.twitter.com/u6IiYR1WpW",NA,"@RachelNotley","#ymm #ymmfire",791612976671428608,"https://twitter.com/peterfortna/status/791612976671428612"
"22",NA,2016-10-27 06:10:00,0,1,"#aviva #Insurance #CareMore #ymmfire https:// twitter.com/AvivaCanada/st atus/791375333396246528 …",NA,NA,"#aviva #Insurance #CareMore #ymmfire",791582849501659136,"https://twitter.com/Insurance4uNB/status/791582849501659136"
"23",NA,2016-10-26 23:56:00,1,2,"Off to #FortMcMurray to follow up #ymmfire #fortmacstrong",NA,NA,"#FortMcMurray #ymmfire #fortmacstrong",791488744637407232,"https://twitter.com/philiplharrison/status/791488744637407232"
"24",NA,2016-10-26 23:30:00,3,2,"Tough questions for AB Premier on Fort McMurray rebuild #yyc #ymm #ymmfire http://www. 660news.com/2016/10/26/tou gh-questions-alberta-premier-fort-mcmurray-rebuild/ …",NA,NA,"#yyc #ymm #ymmfire",791482289842782208,"https://twitter.com/660NEWS/status/791482289842782209"
"25",NA,2016-10-26 23:30:00,1,0,"Tough questions for AB Premier on Fort McMurray rebuild #yyc #ymm #ymmfire http://www. 660news.com/2016/10/26/tou gh-questions-alberta-premier-fort-mcmurray-rebuild/ …",NA,NA,"#yyc #ymm #ymmfire",791482237707493376,"https://twitter.com/news_ian/status/791482237707493376"
"26",NA,2016-10-26 21:55:00,0,0,"Alberta - creativity from disaster #ymmfire http://www. cbc.ca/news/canada/ed monton/distilling-the-beast-fort-mcmurray-captures-wildfire-in-a-bottle-1.3822005 …",NA,NA,"#ymmfire",791458176524693504,"https://twitter.com/paterson_sam/status/791458176524693504"
"27",NA,2016-10-26 21:21:00,0,1,"Suncor production recovery after Fort McMurray wildfire leads to $392M net profit #ymm #ymmfire http:// glbn.ca/toBOIC",NA,NA,"#ymm #ymmfire",791449731092324352,"https://twitter.com/GlobalLeth/status/791449731092324352"
"28",NA,2016-10-26 21:21:00,10,12,"Suncor production recovery after Fort McMurray wildfire leads to $392M net profit #ymm #ymmfire http:// glbn.ca/BgNAhv",NA,NA,"#ymm #ymmfire",791449728261185536,"https://twitter.com/GlobalEdmonton/status/791449728261185536"
"29",NA,2016-10-26 21:21:00,4,1,"Suncor production recovery after Fort McMurray wildfire leads to $392M net profit #ymm #ymmfire http:// glbn.ca/A2Le6u",NA,NA,"#ymm #ymmfire",791449725111336960,"https://twitter.com/GlobalCalgary/status/791449725111336960"
"30",NA,2016-10-26 21:03:00,0,0,"Presentation on @DataForGoodYEG summit - including analysis of 211 patterns around #ymmfire pic.twitter.com/M34GfzGsqo",NA,"@DataForGoodYEG","#ymmfire",791445140724445184,"https://twitter.com/YuEuG/status/791445140724445184"
"31",NA,2016-10-26 20:59:00,5,6,"Some awesome projects going on @EcoleMcTavish including planting trees that were burnt during #ymmfire . Wow! #ymm pic.twitter.com/rc915cQbfh",NA,"@EcoleMcTavish","#ymmfire #ymm",791444068207169536,"https://twitter.com/FMPSD/status/791444068207169537"
"32",NA,2016-10-26 20:49:00,1,5,"Great tribute to the heroes that saved our city. #ymmfire #ymm #ABRoads https:// twitter.com/mymcmurray/sta tus/791417721401507840 …",NA,NA,"#ymmfire #ymm #ABRoads",791441774296215552,"https://twitter.com/IanInTheMac/status/791441774296215552"
"33",NA,2016-10-26 20:14:00,8,13,"Great honour by @YourAlberta to the first responders who gave their all during the #ymmfire #iaff @IAFFNewsDesk https:// twitter.com/youralberta/st atus/791395786550448128 …",NA,"@YourAlberta @IAFFNewsDesk","#ymmfire #iaff",791432974801567744,"https://twitter.com/AlbertaFFA/status/791432974801567744"
"34",NA,2016-10-26 20:08:00,0,0,"#ymmfire is now trending in Canada https://www. trendsmap.com/local/canada",NA,NA,"#ymmfire",791431243627847680,"https://twitter.com/TrendsmapCanada/status/791431243627847680"
"35",NA,2016-10-26 20:00:00,0,1,"#ymmfire About every highway and major road out that way needs an overhaul of some kind and has needed it for some time.",NA,NA,"#ymmfire",791429254663671808,"https://twitter.com/JasonVanJason/status/791429254663671808"
"36",NA,2016-10-26 19:14:00,4,9,"'Responders Way Bridge' to honour heroes of the wildfire, Notley announces on visit to Fort McMurray http:// ow.ly/6TwT305zuUP #ymm #ymmfire",NA,NA,"#ymm #ymmfire",791417721472815104,"https://twitter.com/country933fm/status/791417721472815104"
