"","username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"1",NA,2017-11-14 21:07:00,0,0,"in real news though the #ymmfire thing is actually just his mom's basement",NA,NA,"#ymmfire",930618345602330624,"https://twitter.com/adr_ebooks/status/930618345602330624"
"2",NA,2017-11-14 19:33:00,0,3,"Ready to share stories about the #ymmfire with my friends in Conklin. Always a pleasure to work with such a great community. #ymm #Metis #Healing pic.twitter.com/5qQRooVHIR – bei Conklin General",NA,NA,"#ymmfire #ymm #Metis #Healing",930594614054023168,"https://twitter.com/peterfortna/status/930594614054023168"
"3",NA,2017-11-08 10:00:00,0,0,"in real news though the #ymmfire thing is supposed to magically confer methods on a class and it doesn't!",NA,NA,"#ymmfire",928275924914786304,"https://twitter.com/adr_ebooks/status/928275924914786304"
"4",NA,2017-11-01 23:22:00,1,4,"8. It's simple: if you think someone raising funds for #ymmfire victims deserves to be libeled for it, you're a bad person. #ABleg #ABpoli",NA,NA,"#ymmfire #ABleg #ABpoli",925926147409436672,"https://twitter.com/OutlawTory/status/925926147409436673"
"5",NA,2017-11-01 23:12:00,0,1,"6. Day's gambit was to avoid justice from being done upon him for fucking with a #ymmfire fundraiser... #ABleg #ABpoli",NA,NA,"#ymmfire #ABleg #ABpoli",925923590372966400,"https://twitter.com/OutlawTory/status/925923590372966400"
