"tweets","words"
1,"8"
1,"Advised"
1,"several"
1,"government"
1,"agencies"
1,"including"
1,"during"
1,"the"
1,"hellacious"
1,"2016"
1,"Fort"
1,"McMurray"
1,"wildfire"
1,"ymmfire"
2,"Irony"
2,"of"
2,"ironies"
2,"the"
2,"keychain"
2,"my"
2,"home"
2,"builder"
2,"gave"
2,"me"
2,"just"
2,"broke"
2,"ymm"
2,"ymmfire"
3,"Love"
3,"your"
3,"proposal"
3,"check"
3,"out"
3,"ours"
3,"https"
3,"bitly2wdzw4n"
3,"lessons"
3,"from"
3,"the"
3,"ymmfire"
3,"with"
3,"sarafalconer"
4,"El"
4,"humo"
4,"del"
4,"incendio"
4,"de"
4,"Fort"
4,"McMurray"
4,"ymmfire"
4,"también"
4,"llegó"
4,"hasta"
4,"la"
4,"península"
4,"https"
4,"twittercomnchazarrastat"
4,"us1031244679923335168s19"
4,"…"
5,"The"
5,"study"
5,"we"
5,"okay"
5,"at"
5,"least"
5,"I"
5,"have"
5,"been"
5,"waiting"
5,"for"
5,"a"
5,"climatechange"
5,"attribution"
5,"study"
5,"for"
5,"the"
5,"FortMac"
5,"wildfire"
5,"Yes"
5,"the"
5,"warm"
5,"spring"
5,"which"
5,"led"
5,"to"
5,"ymmfire"
5,"was"
5,"related"
5,"to"
5,"humandriven"
5,"climate"
5,"change"
5,"actonclimate"
5,"bcfires"
5,"abpoli"
5,"httpswww"
5,"sciencedirectcomsciencearticl"
5,"epiiS0168192318302016"
5,"…"
6,"I"
6,"know"
6,"that"
6,"you"
6,"cantfixstupid"
6,""
6,"but"
6,"can"
6,"we"
6,"PLEASE"
6,"stop"
6,"flicking"
6,"cigarette"
6,"butts"
6,"out"
6,"of"
6,"our"
6,"vehicles"
6,"Have"
6,"we"
6,"learned"
6,"nothing"
6,"from"
6,"ymmfire"
6,""
