"tweets","words"
1,"Alberta"
1,"Wildfires"
1,"2016"
1,"Community"
1,"Organizations"
1,"Partnership"
1,"Program"
1,""
1,"Canadian"
1,"Red"
1,"Cross"
1,"httpwww"
1,"redcrosscahowwehelpem"
1,"ergenciesanddisastersincanadahowwehelpcanadiansalbertafiresalbertawildfirescommunityorganizationpartnershipsprogramV8YCuSxvUUstwitter"
1,"…"
1,"ymm"
1,"ymmfire"
2,"Were"
2,"back"
2,"in"
2,"Fort"
2,"McMurray"
2,"tonight"
2,""
2,"heres"
2,"a"
2,"look"
2,"at"
2,"Waterways"
2,"from"
2,"HWY63"
2,"Nobody"
2,"living"
2,"there"
2,"yet"
2,"ymm"
2,"ymmfire"
2,"pictwittercomAgx576Qobr"
3,"This"
3,"is"
3,"pretty"
3,"cool"
3,"Corn"
3,"field"
3,"sprouts"
3,"tribute"
3,"to"
3,"Fort"
3,"McMurray"
3,"wildfire"
3,"heroes"
3,"httpwww"
3,"cbcca13734923"
3,"ymmfire"
3,"abfire"
4,"Q2"
4,"2016"
4,"Update"
4,""
4,"An"
4,"uneasy"
4,"time"
4,"with"
4,"Fort"
4,"McMurray"
4,"Wildfire"
4,"http"
4,"buffly2bJElcV"
4,"ymmfire"
4,"fintlit"
4,"fortmacfire"
4,"update"
4,"networth"
5,"Here"
5,"are"
5,"this"
5,"weeks"
5,"top"
5,"10"
5,"needs"
5,"for"
5,"donations"
5,"at"
5,"The"
5,"Alberta"
5,"Wildfire"
5,"Donation"
5,"Centre"
5,"ymmfire"
5,"pictwittercomll4hiO15r5"
6,"Ash"
6,"and"
6,"Oil"
6,"FortMcMurray"
6,"residents"
6,"rebuild"
6,"after"
6,"wildfire"
6,"destroys"
6,"city"
6,"–"
6,"video"
6,"http"
6,"htlyghpB303INls"
6,"ymmfire"
6,"FortMacStrong"
6,"ABfire"
7,"Canada"
7,"Fort"
7,"McMurray"
7,"residents"
7,"dealing"
7,"with"
7,"mental"
7,"health"
7,"challenges"
7,"abpoli"
7,"cdnpoli"
7,"RMWoodBuffao"
7,"ymmfire"
7,"http"
7,"crofsblogstypepadcomh5n1201608c"
7,"anadafortmcmurrayresidentsdealingwithmentalhealthchallengeshtml"
7,"…"
8,"PEI"
8,"mom"
8,"gets"
8,"Mothers"
8,"Day"
8,"card"
8,"from"
8,"FortMcMurray"
8,"after"
8,"wildfire"
8,""
8,"PrinceEdwardIsland"
8,"http"
8,"htlyo6IP303IN5B"
8,"ymmfire"
8,"ABfire"
9,"We"
9,"are"
9,"gathering"
9,"info"
9,"to"
9,"determine"
9,"the"
9,"impact"
9,"from"
9,"the"
9,"ymmfire"
9,"on"
9,"the"
9,"constructioncommunity"
9,""
9,"Take"
9,"the"
9,"survey"
9,"here"
9,"httpswww"
9,"surveymonkeycomr6QDSZQ8"
10,"HSAAlberta"
10,"great"
10,"think"
10,"piece"
10,"on"
10,"the"
10,"ymmfire"
10,"https"
10,"twittercomMcMurrayMusing"
10,"sstatus767527270588133376"
10,"…"
11,"Council"
11,"to"
11,"discuss"
11,"tax"
11,"relief"
11,"development"
11,"in"
11,"restricted"
11,"areas"
11,"http"
11,"bitly2cajtwx"
11,"ymm"
11,"ymmfire"
11,"pictwittercomPdkLPnGRJP"
12,"Council"
12,"to"
12,"discuss"
12,"tax"
12,"relief"
12,"development"
12,"in"
12,"restricted"
12,"areas"
12,""
12,"http"
12,"bitly2cajtwx"
12,""
12,"ymm"
12,"ymmfire"
12,"pictwittercomHMzNuyhaPT"
13,"ymm"
13,"ymmfire"
13,"RMWoodBuffalo"
13,"MayorMelissa"
13,"dust"
13,"control"
13,"at"
13,"its"
13,"finest"
13,"This"
13,"is"
13,"BeaconHill"
13,"at"
13,"500pm"
13,"pictwittercomcn6KnjIohA"
14,"Q2"
14,"2016"
14,"Update"
14,""
14,"An"
14,"uneasy"
14,"time"
14,"with"
14,"Fort"
14,"McMurray"
14,"Wildfire"
14,"http"
14,"buffly2bHfnbr"
14,"ymmfire"
14,"personalfinance"
14,"fortmacfire"
14,"update"
15,"went"
15,"to"
15,"get"
15,"my"
15,"9yr"
15,"old"
15,"daughters"
15,"stuff"
15,"left"
15,"in"
15,"her"
15,"locker"
15,"from"
15,"before"
15,"the"
15,"ymmfire"
15,""
15,"she"
15,"had"
15,"5"
15,"pairs"
15,"of"
15,"shoes"
15,"FIVE"
15,"girls"
16,"Dreams"
16,"Take"
16,"Flight"
16,"from"
16,"Fort"
16,"McMurray"
16,"httpwww"
16,"mix1037fmcom20160829121"
16,"16"
16,"…"
16,"ymm"
16,"ymmfire"
16,"rmwb"
16,"Mix1037radio"
16,"pictwittercomTNEnZSDLBq"
17,"Pls"
17,"help"
17,"us"
17,"to"
17,"SELL"
17,"OUT"
17,"our"
17,"raffle"
17,"by"
17,"Aug"
17,"31"
17,"Can"
17,"win"
17,"from"
17,"anywhere"
17,"20"
17,"tix"
17,"here"
17,"http"
17,"owlyLCfx3021bai"
17,"ymmfire"
17,"pictwittercomp9rXm1167X"
18,"When"
18,"Fort"
18,"McMurray"
18,"needs"
18,"us"
18,"WeAllRespond"
18,""
18,"Read"
18,"how"
18,"Edmontonians"
18,"helped"
18,"during"
18,"ymmfire"
18,""
18,"http"
18,"weallrespondmakesomethingedmontonca"
18,"pictwittercomjl6z7JIH9c"
19,"Council"
19,"makes"
19,"an"
19,"exception"
19,"will"
19,"meet"
19,"tomorrow"
19,"nigh"
19,"httpwww"
19,"mix1037fmcom20160829121"
19,"03"
19,"…"
19,"ymm"
19,"ymmfire"
19,"rmwb"
19,"Mix1037FMNews"
19,"pictwittercomtIRpWwdOIz"
20,"Stand"
20,"Up"
20,"for"
20,"Mental"
20,"Health"
20,"returns"
20,"September"
20,"30"
20,"httpwww"
20,"mix1037fmcom20160829120"
20,"88"
20,"…"
20,"ymm"
20,"rmwb"
20,"ymmfire"
20,"Mix1037radio"
20,"pictwittercomfilC2zIgdV"
21,"Removable"
21,"flood"
21,"walls"
21,"proposed"
21,"to"
21,"speed"
21,"Waterways"
21,"rebuild"
21,"http"
21,"bitly2bv9uNq"
21,"ymm"
21,"ymmfire"
21,"pictwittercom34yq1TklWH"
22,"Removable"
22,"flood"
22,"walls"
22,"proposed"
22,"to"
22,"speed"
22,"Waterways"
22,"rebuild"
22,""
22,"http"
22,"bitly2bv9uNq"
22,""
22,"ymm"
22,"ymmfire"
22,"pictwittercomOTmszs0uhP"
23,"HelpFortMac"
23,"Some"
23,"places"
23,"to"
23,"donate"
23,"redcrosscanada"
23,""
23,"WBFoodBank"
23,""
23,"NorLightsHealth"
23,""
23,"FMSPCA"
23,""
23,"Waypointswb"
23,""
23,"ymmfire"
23,"pictwittercomJ0ksSW9ZCb"
24,"When"
24,"our"
24,"neighbours"
24,"needed"
24,"our"
24,"help"
24,"you"
24,"were"
24,"there"
24,"Thank"
24,"you"
24,"ymmfire"
24,"http"
24,"fbme7z7h6GVMe"
25,"hi"
25,"ben"
25,"can"
25,"i"
25,"have"
25,"your"
25,"beach"
25,"volley"
25,"uniform"
25,"in"
25,"rio"
25,"2016"
25,"Please"
25,"From"
25,"ymmfire"
26,"Pls"
26,"help"
26,"us"
