"tweets","words"
1,"I"
1,"a"
1,"personal"
1,"note"
1,"I"
1,"think"
1,"this"
1,"sucks"
1,"Youve"
1,"been"
1,"great"
1,"for"
1,"ymm"
1,""
1,"particularly"
1,"your"
1,"and"
1,"the"
1,"rest"
1,"other"
1,"the"
1,"teams"
1,"coverage"
1,"of"
1,"ymmfire"
2,"Interview"
2,"reminds"
2,"me"
2,"of"
2,"MayorMelissa"
2,""
2,"ymmfire"
2,"recovery"
2,"but"
2,"with"
2,"34"
2,"of"
2,"Albertas"
2,"4M"
2,"population"
2,"localleadersmatter"
2,"PuertoRico"
3,"Thanks"
3,"to"
3,"all"
3,"the"
3,"YMM"
3,"ladies"
3,"we"
3,"reached"
3,"out"
3,"for"
3,"this"
3,"story"
3,"ymmfire"
3,"yeg"
3,"uofa"
3,"https"
3,"twittercomglobaledmonton"
3,"status911710028985503746"
3,"…"
4,"Standing"
4,"ovation"
4,"for"
4,"Superintendent"
4,"DougNicholls2"
4,"as"
4,"Board"
4,"acknowledged"
4,"him"
4,"for"
4,"being"
4,"ymmfire"
4,"hero"
4,"ymm"
4,"RMWoodBuffalo"
4,"heisawesome"
4,"pictwittercomHwjkJcpC9r"
5,"Interesting"
5,"A"
5,"positive"
5,"outlook"
5,"over"
5,"the"
5,"coming"
5,"years"
5,"as"
5,"the"
5,"rmwb"
5,"recovers"
5,"from"
5,"the"
5,"ymmfire"
5,""
5,"Lets"
5,"hope"
5,"this"
5,"comes"
5,"to"
5,"fruition"
5,"https"
5,"twittercomRMWoodBuffalo"
5,"status910168432569733127"
5,"…"
6,"From"
6,"Facebook"
6,""
6,"AmazingPhoto"
6,"of"
6,"Highway"
6,"63"
6,"traffic"
6,"heading"
6,"north"
6,"to"
6,"Fort"
6,"McMurray"
6,"Another"
6,"house"
6,"almost"
6,"recovered"
6,"after"
6,"YMMfire"
6,""
6,"YMM"
6,"pictwittercomTQpcehi9l7"
7,"I"
7,"know"
7,"I"
7,"was"
7,"hard"
7,"on"
7,"Council"
7,"earlier"
7,"tonight"
7,"But"
7,"overall"
7,"you"
7,"did"
7,"amazing"
7,"things"
7,"for"
7,"ymm"
7,""
7,"especially"
7,"during"
7,"ymmfire"
7,"https"
7,"twittercomCullenBirdsta"
7,"tus908162682594910208"
7,"…"
8,"Tras"
8,"458"
8,"días"
8,"el"
8,"incendio"
8,"forestal"
8,"de"
8,"Fort"
8,"McMurray"
8,"ymmfire"
8,"se"
8,"declara"
8,"oficialmente"
8,"como"
8,"extinguido"
8,"https"
8,"twittercomqueenofpeatst"
8,"atus907675286191427584"
8,"…"
9,"A"
9,"big"
9,"thankyou"
9,"to"
9,"MemorialU"
9,"for"
9,"replacing"
9,"my"
9,"Fellow"
9,"of"
9,"Graduate"
9,"Studies"
9,"Certificate"
9,""
9,"Pin"
9,"The"
9,"originals"
9,"were"
9,"lost"
9,"I"
9,"ymmfire"
9,""
9,"ymm"
9,"pictwittercom2SOgAArgXE"
10,"Finally"
10,"after"
10,"15"
10,"months"
10,"the"
10,"ymm"
10,"forest"
10,"fire"
10,"is"
10,"out"
10,"almost"
10,"6000"
10,"sq"
10,"km"
10,"burning"
10,"at"
10,"once"
10,"at"
10,"its"
10,"peak"
10,"Still"
10,"lots"
10,"of"
10,"rebuilding"
10,"to"
10,"do"
10,"ymmfire"
10,"https"
10,"twittercomrachelnotleys"
10,"tatus903733905722941440"
10,"…"
11,"Fort"
11,"McMurray"
11,"fire"
11,"has"
11,"officially"
11,"ended"
11,"after"
11,"15"
11,"months"
11,"Ymmfire"
11,"ymm"
11,"https"
11,"twittercomicialbertasta"
11,"tus903690944121249792"
11,"…"
12,"La"
12,"Bête"
12,"est"
12,"morte"
12,"fmm"
12,"Ymmfire"
12,"https"
12,"twittercomicialbertasta"
12,"tus903690944121249792"
12,"…"
13,"Was"
13,"the"
13,"Ymmfire"
13,"a"
13,"deliberate"
13,"act"
13,"of"
13,"radical"
13,"Islamic"
13,"terrorist"
13,"arson"
13,"attack"
13,"cdnpoli"
13,"abpoli"
13,"RCMP"
13,"Canada"
13,"ShelleySinghAuD"
13,"https"
13,"twittercomGlobalEdmonton"
13,"status903607718627483652"
13,"…"
14,"Was"
14,"the"
14,"Ymmfire"
14,"a"
14,"deliberate"
14,"act"
14,"of"
14,"radical"
14,"Islamic"
14,"terrorist"
14,"arson"
14,"attack"
15,"Fort"
15,"McMurray"
15,"wildfire"
15,"officially"
15,"out"
15,"more"
15,"than"
15,"a"
15,"year"
15,"after"
15,"forcing"
15,"evacuation"
15,"of"
15,"80K"
15,"people"
15,"ymmfire"
15,"globalnews"
15,"http"
15,"globalnewscanews3711480i"
15,"tsofficialfortmcmurraywildfirefinallyout"
15,"…"
16,"More"
16,"than"
16,"a"
16,"year"
16,"later"
16,"the"
16,"fire"
16,"dubbed"
16,"The"
16,"Beast"
16,"has"
16,"been"
16,"extinguished"
16,"http"
16,"glbncaUAShLD"
16,"ymm"
16,"ymmfire"
17,"More"
17,"than"
17,"a"
17,"year"
17,"later"
17,"the"
17,"fire"
17,"dubbed"
17,"The"
17,"Beast"
17,"has"
17,"been"
17,"extinguished"
17,"http"
17,"glbncawhGInM"
17,"ymm"
17,"ymmfire"
18,"More"
18,"than"
18,"a"
18,"year"
18,"later"
18,"the"
18,"fire"
18,"dubbed"
18,"The"
18,"Beast"
18,"has"
18,"been"
18,"extinguished"
18,"http"
18,"glbncalhl75f"
18,"ymm"
18,"ymmfire"
19,"Finally"
19,"some"
19,"closure"
19,"on"
19,"the"
19,"ymmfire"
19,"ymm"
19,"https"
19,"twittercomfortmactodays"
19,"tatus903396236547338241"
19,"…"
20,"The"
20,"Beast"
20,"is"
20,"officially"
20,"dead"
20,"httpwww"
20,"mymcmurraycom20170831the"
20,"beastisdead"
20,"…"
20,"YMMFire"
20,"YMMstrong"
20,"YMM"
20,"AB"
20,"Canada"
