"tweets","words"
1,"Love"
1,"it"
1,"YMM"
1,"ymmfire"
2,"TY"
2,"hannahepperson"
2,"for"
2,"delivering"
2,"such"
2,"a"
2,"heart"
2,"felt"
2,"gift"
2,"I"
2,"hope"
2,"its"
2,"ok"
2,"that"
2,"I"
2,"share"
2,"it"
2,"with"
2,"those"
2,"in"
2,"ymm"
2,"who"
2,"lost"
2,"homes"
2,"in"
2,"ymmfire"
2,"pictwittercomxs93tyH6aC"
3,"I"
3,"see"
3,"neighbourhoods"
3,"still"
3,"like"
3,"this"
3,"HintonAB"
3,"and"
3,"worry"
3,"weve"
3,"learned"
3,"nothing"
3,"at"
3,"all"
3,"about"
3,"abfire"
3,"preparedness"
3,"ymmfire"
3,"SlaveLake"
3,"yeg"
3,"pictwittercomKNRke7jCC5"
4,"Warm"
4,"January"
4,"day"
4,"to"
4,"explore"
4,"the"
4,"trails"
4,"burned"
4,"out"
4,"by"
4,"the"
4,"ymmfire"
4,"in…"
4,"httpswww"
4,"instagramcompBP3PzYGhMuBF"
4,"mMD3zPPN9x0KjBIFeOTswF2XU0"
4,"…"
5,"Generosity"
5,"is"
5,"fundamental"
5,"to"
5,"humans"
5,"Normal"
5,"human"
5,"response"
5,"to"
5,"tragedy"
5,"is"
5,"generosity"
5,"you"
5,"saw"
5,"during"
5,"ymmfire"
5,"ymm"
5,"erlcpl"
5,"fmcsd"
5,"pictwittercomf9qH27wL6D"
6,"Canada’s"
6,"costliest"
6,"disaster"
6,"posed"
6,"a"
6,"unique"
6,"challenge"
6,"for"
6,"restoration"
6,"pros"
6,"Here’s"
6,"what"
6,"we"
6,"learned"
6,"after"
6,"ymmfire"
6,""
6,"http"
6,"bitly2fIzh6Z"
7,"Kinds"
7,"of"
7,"trauma"
7,"Youll"
7,"see"
7,"this"
7,"in"
7,"some"
7,"people"
7,"post"
7,"ymmfire"
7,"too"
7,"ymm"
7,"pictwittercomI48VAiBzad"
8,"Shocked"
8,"DavidYurdiga"
8,"would"
8,"criticize"
8,"abndp"
8,"ymmfire"
8,"response"
8,"Remember"
8,"his"
8,"last"
8,"preformance"
8,"review"
8,"https"
8,"youtubek9ZTV9DOrjw"
8,"ymm"
8,"ableg"
9,"Nomination"
9,"Reveal"
9,"Part"
9,"16"
9,"httpwww"
9,"eyeymmcomblog2017126"
9,"lkelliotnominator"
9,"…"
9,"2017"
9,"ymm"
9,"rmwb"
9,"fortmac"
9,"fortmcmurray"
9,"positivevibes"
9,"tbt"
9,"lkelliott"
9,"ymmfire"
10,"who"
10,"do"
10,"these"
10,"other"
10,"mps"
10,"represent"
10,""
10,"why"
10,"do"
10,"we"
10,"care"
10,"what"
10,"they"
10,"think"
10,"ymmfire"
11,"See"
11,"us"
11,"featured"
11,"in"
11,"mountroyal4u"
11,"s"
11,"Summit"
11,"Mag"
11,"for"
11,"our"
11,"work"
11,"during"
11,"the"
11,"ymmfire"
11,""
11,"Covers"
11,"some"
11,"of"
11,"our"
11,"projects"
11,"too"
11,"httpwww"
11,"mtroyalcaSummitdisaste"
11,"rhtm"
11,"…"
12,"FortMac"
12,"s"
12,"Highway63"
12,"was"
12,"a"
12,"Wildfire"
12,"lifeline"
12,""
12,"also"
12,"represents"
12,"MH"
12,"challenges"
12,"BellLetsTalk"
12,""
12,"remember"
12,"ymmfire"
12,"https"
12,"youtubevqtcxDaMgo"
13,"Like"
13,"many"
13,"others"
13,"who"
13,"lived"
13,"in"
13,"Fort"
13,"McMurray"
13,"during"
13,"ymmfire"
13,""
13,"I"
13,"came"
13,"away"
13,"with"
13,"PTSD"
13,"bellletstalk"
14,"Im"
14,"thankfull"
14,"no"
14,"one"
14,"was"
14,"hurt"
14,"in"
14,"the"
14,"ymmfire"
14,""
14,"Seems"
14,"like"
14,"a"
14,"real"
14,"uptick"
14,"in"
14,"natural"
14,"disasters"
14,"lately"
14,"though"
15,"are"
15,"you"
15,"trying"
15,"to"
15,"connect"
15,"the"
15,"ymmfire"
15,"with"
15,"climate"
15,"change"
16,"blakeshelton"
16,"LukeBryanOnline"
16,"crashmyplaya"
16,""
16,"Can"
16,"we"
16,"make"
16,"a"
16,"wedding"
16,"happen"
16,"for"
16,"my"
16,"dear"
16,"friends"
16,"Had"
16,"to"
16,"cancel"
16,"due"
16,"to"
16,"the"
16,"ymmfire"
17,"Economics"
17,"profs"
17,"report"
17,"first"
17,"findings"
17,"in"
17,"total"
17,"cost"
17,"of"
17,"Fort"
17,"McMurray"
17,"wildfires"
17,"ymmfire"
17,"fortmacfire"
17,"macewanu"
17,"http"
17,"macewanu2jVIjkc"
17,"pictwittercomj7nI3gFXyz"
18,"ableg"
18,"abpoli"
18,"ymmfire"
18,"climatechange"
18,"https"
18,"twittercomenvirolaw1sta"
18,"tus822456392850272257"
18,"…"
19,"DrClarkSchool"
19,"Principal"
19,"MerrieRae"
19,"pens"
19,"her"
19,"YMMFire"
19,"experience"
19,"httpwww"
19,"canadianteachermagazinecomarticlesfocus"
19,"onschoolsarticlefofortmcmurraystronghtml"
19,"…"
19,"via"
19,"Canadian"
19,"Teacher"
19,"magazine"
19,"YMM"
19,"DougNicholls2"
20,"Big"
20,"thanks"
20,"2"
20,"Tracy"
20,"WPIC"
20,"4"
20,"sending"
20,"me"
20,"my"
20,"certificate"
20,"after"
20,"loosing"
20,"it"
20,"in"
20,"ymmfire"
20,""
20,"so"
20,"happy"
20,""
20,"alittlebitback"
20,"everybitcounts"
20,"thankful"
21,"Faculty"
21,"Affiliate"
21,"WGSTMRUWilliams"
21,"on"
21,"todays"
21,"CBCHomestretch"
21,"talking"
21,"about"
21,"pets"
21,"in"
21,"ymmfire"
21,""
21,"ymm"
21,"mountroyal4u"
21,"httpwww"
21,"cbccanewscanadaca"
21,"lgaryprogramshomestretchanewstudylooksatthebestwaytodealwithpetsduringnaturaldisasters13944087"
21,"…"
22,"ymmfire"
22,"put"
22,"out"
22,"dreams"
22,"of"
22,"a"
22,"wedding"
22,"for"
22,"my"
22,"friends"
22,"Would"
22,"be"
22,"a"
22,"dream"
22,"come"
22,"true"
22,"to"
22,"happen"
22,"at"
22,"crashmyplaya"
22,""
23,"Im"
23,"not"
23,"sure"
23,"about"
23,"a"
23,"festival"
23,"but"
23,"an"
23,"appropriate"
23,"commemoration"
23,"for"
23,"sure"
23,"ymm"
23,"ymmfire"
23,"https"
23,"twittercomItsMattLOLsta"
23,"tus821859833670299648"
23,"…"
24,"WATCH"
24,"Quinnohler"
24,"speaks"
24,"to"
24,"Edmonton"
24,"economist"
24,"about"
24,"real"
24,"cost"
24,"of"
24,"Fort"
24,"McMurray"
24,"wildfire"
24,"http"
24,"tinyurlcomhed8dk2"
24,"yeg"
24,"ymmfire"
24,"ymm"
25,"CORRECTION"
25,"ymmfire"
25,""
25,"Study"
25,"pegs"
25,"cost"
25,"of"
25,"lost"
25,"buildings"
25,"income"
25,"and"
25,"environmental"
25,"damage"
25,"at"
25,"89B"
25,"not"
25,"nearly"
25,"10B"
25,"http"
25,"glbncabKgxgb"
26,"CORRECTION"
26,"ymmfire"
26,""
26,"Study"
26,"pegs"
26,"cost"
26,"of"
26,"lost"
26,"buildings"
26,"income"
26,"and"
26,"environmental"
26,"damage"
26,"at"
26,"89B"
26,"not"
26,"nearly"
26,"10B"
26,"http"
26,"glbncaWuZYIy"
27,"CORRECTION"
27,"ymmfire"
27,""
27,"Study"
27,"pegs"
27,"cost"
27,"of"
27,"lost"
27,"buildings"
27,"income"
27,"and"
27,"environmental"
27,"damage"
27,"at"
27,"89B"
27,"not"
27,"nearly"
27,"10B"
27,"http"
27,"glbncaaaDTjK"
28,"CORRECTION"
28,"ymmfire"
28,""
28,"Study"
28,"pegs"
28,"cost"
28,"of"
28,"lost"
28,"buildings"
28,"income"
28,"and"
28,"environmental"
28,"damage"
28,"at"
28,"89B"
28,"not"
28,"nearly"
28,"10B"
28,"http"
28,"glbnca5My9uh"
29,"How"
29,"do"
29,"we"
29,"assess"
29,"the"
29,"economic"
29,"impacts"
29,"of"
29,"the"
29,"Fort"
29,"McMurray"
29,"Wildfire"
29,"Learn"
29,"more"
29,"today"
29,"at"
29,"2"
29,"pm"
29,"ymmfire"
29,"macewanu"
29,"http"
29,"macewanu2iIZh3C"
29,"pictwittercom0Giuk7jra5"
30,"Economist"
30,"pegs"
30,"10"
30,"billion"
30,"in"
30,"damage"
30,"to"
30,"YMM"
30,"after"
30,"the"
30,"wildfire"
30,"YMMfire"
30,"fortmac"
30,"httpwww"
30,"mymcmurraycom20170117eco"
30,"nomistcomescostdamagecommunityfire"
30,"…"
31,"Congrats"
31,"to"
31,"the"
31,"talented"
31,"and"
31,"tireless"
31,"staff"
31,"at"
31,"GlobalNational"
31,"for"
31,"CSA"
31,"nominations"
31,"for"
31,"Best"
31,"National"
31,"Newscast"
31,"and"
31,"Best"
31,"Reportage"
31,"ymmfire"
32,"Financial"
32,"impact"
32,"of"
32,"Fort"
32,"McMurray"
32,"wildfire"
32,"reaches"
32,"almost"
32,"10B"
32,"study"
32,"ymmfire"
32,"ymm"
32,"alberta"
32,"yeg"
32,"yyc"
32,"abstrong"
32,"http"
32,"htlyURv73086nR4"
33,"TY"
33,"for"
33,"creating"
33,"beautiful"
33,"art"
33,"I"
33,"hope"
33,"you"
33,"continue"
33,"on"
