"tweets","words"
1,"We"
1,"are"
1,"proud"
1,"to"
1,"have"
1,"supported"
1,"the"
1,"efforts"
1,"of"
1,"the"
1,"Red"
1,"Cross"
1,"during"
1,"the"
1,"ymmfire"
1,"pictwittercomdX1GjGsSLB"
2,"ymmfire"
2,"http"
2,"fbme4mkiZyaU2"
3,"The"
3,"emergency"
3,"response"
3,"to"
3,"the"
3,"Fort"
3,"McMurray"
3,"wildfire"
3,"will"
3,"be"
3,"reviewed"
3,"by"
3,"an"
3,"independent"
3,"third"
3,"party"
3,"httpwww"
3,"albertacareleasecfmxI"
3,"D43506A43B390CDFC1322098E154914097185B"
3,"…"
3,"ymmfire"
4,"Province"
4,"to"
4,"review"
4,"Fort"
4,"McMurray"
4,"wildfire"
4,"evacuation"
4,"ymm"
4,""
4,"ymmfire"
4,"http"
4,"bitly2daMUAK"
4,"pictwittercomQx7p5eMSPF"
5,"Looking"
5,"forward"
5,"to"
5,"StormHunters"
5,"premiere"
5,"on"
5,"Sunday"
5,"debmatejicka"
5,"cstclair1"
5,"StormhunterTWN"
5,"weathernetwork"
5,"ymmfire"
5,"FortMcMurray"
5,"https"
5,"twittercomweathernetwork"
5,"status781543649284947968"
5,"…"
6,"Prof"
6,"Flannigan"
6,"gave"
6,"a"
6,"great"
6,"talk"
6,"about"
6,"ymmfire"
6,""
6,"breakfast"
6,"on"
6,"the"
6,"6th"
6,"floor"
6,"of"
6,"the"
6,"Parliament"
6,"was"
6,"nice"
6,"too"
6,"WesternPartners"
6,"pictwittercomu9itn4rAXk"
7,"Alberta"
7,"to"
7,"review"
7,"Fort"
7,"McMurray"
7,"wildfire"
7,"response"
7,"gpab"
7,"ymm"
7,"ymmfire"
7,"httpwww"
7,"mygrandeprairienowcom21983alberta"
7,"reviewfortmcmurraywildfireresponse"
7,"…"
7,"pictwittercomNJydOj3QN8"
8,"Alberta"
8,"to"
8,"complete"
8,"review"
8,"into"
8,"Fort"
8,"McMurray"
8,"wildfire"
8,"response"
8,"by"
8,"next"
8,"summer"
8,"ymmfire"
8,"ymm"
8,"abgov"
8,"http"
8,"glbncaA87vVg"
9,"Alberta"
9,"to"
9,"complete"
9,"review"
9,"into"
9,"Fort"
9,"McMurray"
9,"wildfire"
9,"response"
9,"by"
9,"next"
9,"summer"
9,"ymmfire"
9,"ymm"
9,"abgov"
9,"http"
9,"glbnca1wCLjs"
10,"Alberta"
10,"to"
10,"complete"
10,"review"
10,"into"
10,"Fort"
10,"McMurray"
10,"wildfire"
10,"response"
10,"by"
10,"next"
10,"summer"
10,"ymmfire"
10,"ymm"
10,"abgov"
10,"http"
10,"glbnca9xnMwW"
11,"Alberta"
11,"to"
11,"complete"
11,"review"
11,"into"
11,"Fort"
11,"McMurray"
11,"wildfire"
11,"response"
11,"by"
11,"next"
11,"summer"
11,"ymmfire"
11,"ymm"
11,"abgov"
11,"http"
11,"glbncaBlgOQd"
12,"My"
12,"3rd"
12,"party"
12,"opinion"
12,"is"
12,"we"
12,"did"
12,"very"
12,"good"
12,"90k"
12,"people"
12,"and"
12,"no"
12,"incidents"
12,"ymm"
12,"ymmfire"
12,"https"
12,"twittercomCBCAlertsstat"
12,"us781550173424058368"
12,"…"
13,"Albertas"
13,"review"
13,"into"
13,"response"
13,"to"
13,"ymmfire"
13,"is"
13,"expected"
13,"to"
13,"be"
13,"complete"
13,"next"
13,"summer"
13,"httpwww"
13,"metronewscanewscanada20"
13,"160929albertatocompletereviewintofortmcmurrayfireresponsebynextsummerhtml"
13,"…"
14,"Province"
14,"officially"
14,"announces"
14,"it"
14,"will"
14,"review"
14,"emergency"
14,"response"
14,"to"
14,"ymmfire"
14,"Similar"
14,"to"
14,"ones"
14,"done"
14,"after"
14,"Slave"
14,"Lake"
14,"and"
14,"southern"
14,"AB"
14,"flood"
14,"ymm"
15,"See"
15,"the"
15,"weather"
15,"story"
15,"behind"
15,"the"
15,"FortMacFires"
15,"in"
15,"an"
15,"allnew"
15,"episode"
15,"of"
15,"StormHunters"
15,"premiering"
15,"this"
15,"Sunday"
15,"at"
15,"7pm"
15,"ETPT"
15,"ymmfire"
15,"pictwittercomjgUa6Wak3g"
16,"Have"
16,"faith"
16,"remembering"
16,"it"
16,"is"
16,"not"
16,"your"
16,"job"
16,"to"
16,"make"
16,"faith"
16,"work"
16,"that"
16,"is"
16,"Gods"
16,"job"
16,"faith"
16,"THROUGHTHEFIRE"
16,"ymmfire"
16,"YMMSTRONG"
16,"ALBERTASTRONG"
17,"ymm"
17,"ymmfire"
17,"fortmac"
17,"https"
17,"twittercomweathernetwork"
17,"status781486445802422272"
17,"…"
18,"ymm"
18,"ymmfire"
18,"https"
18,"twittercomweathernetwork"
18,"status781486445802422272"
18,"…"
19,"ICYMI"
19,"ymm"
19,"residents"
19,"to"
19,"get"
19,"facetoface"
19,"answers"
19,"on"
19,"whopping"
19,"utility"
19,"bills"
19,"ymmfire"
19,"http"
19,"bitly2dzD7jh"
19,"pictwittercomjwQm7CbXOh"
20,"ymm"
20,"ymmfire"
20,"ymmstrong"
20,"https"
20,"twittercomweathernetwork"
20,"status781206896296333313"
20,"…"
21,"Interim"
21,"Housing"
21,"Options"
21,"in"
21,"Fort"
21,"McMurray"
21,"http"
21,"bitly2damGud"
21,"YMM"
21,"ymmfire"
21,"pictwittercomeZUcQqpCAQ"
22,"Concert"
22,"for"
22,"Fort"
22,"McMurray"
22,"wildfire"
22,"relief"
22,"raises"
22,"almost"
22,"188K"
22,"ymm"
22,"ymmfire"
22,"http"
22,"glbncaVi1Rwh"
23,"Concert"
23,"for"
23,"Fort"
23,"McMurray"
23,"wildfire"
23,"relief"
23,"raises"
23,"almost"
23,"188K"
23,"ymm"
23,"ymmfire"
23,"http"
23,"glbncaBG0a6J"
24,"Concert"
24,"for"
24,"Fort"
24,"McMurray"
24,"wildfire"
24,"relief"
24,"raises"
24,"almost"
24,"188K"
24,"ymm"
24,"ymmfire"
24,"http"
24,"glbncaPhCFNE"
25,"Looking"
25,"forward"
25,"to"
25,"seeing"
25,"the"
25,"premiere"
25,"of"
25,"Stormhunters"
25,"Sunday"
25,"This"
25,"event"
25,"touched"
25,"Canadians"
25,"across"
25,"the"
25,"country"
25,"ymmfire"
25,"weathernetwork"
25,"https"
25,"twittercomweathernetwork"
25,"status781157640588054528"
25,"…"
26,"Nice"
26,"to"
26,"see"
26,"the"
26,"forest"
26,"rebuilding"
26,"itself"
26,"ymmfire"
26,"mothernature"
26,"wildfire"
26,"Ft"
26,"Mcmurray"
26,"httpswww"
26,"instagramcompBK6DZaLAowU"
27,"So"
27,"exciting"
27,"classified"
27,"is"
27,"coming"
27,"to"
27,"ymm"
27,""
27,"raising"
27,"money"
27,"for"
27,"us"
27,"httpwww"
27,"classifiedofficialcom"
27,"ymmstrong"
27,"ymmfire"
27,"pictwittercom1zWzbO1H3s"
28,"Impacts"
28,"of"
28,"FortMacFire"
28,"are"
28,"still"
28,"difficult"
28,"to"
28,"describe"
28,"See"
28,"the"
28,"force"
28,"and"
28,"fallout"
28,"on"
28,"the"
28,"StormHunters"
28,"season"
28,"premiere"
28,"this"
28,"Sunday"
28,"ymmfire"
28,"pictwittercomIsZoT6A4Jx"
29,"Shes"
29,"worked"
29,"tirelessly"
29,"on"
29,"getting"
29,"us"
29,"home"
29,"since"
29,"Ymmfire"
29,""
29,"Woman"
29,"of"
29,"the"
29,"Week"
29,"Erin"
29,"ONeill"
29,"http"
29,"womenspostcawomanofthew"
29,"eekerinoneill"
29,"…"
29,"via"
29,"womenspost"
29,"ymm"
30,"Woman"
30,"of"
30,"the"
30,"Week"
30,"Planner"
30,"Erin"
30,"ONeill"
30,"RPP"
30,"MCIP"
30,"http"
30,"womenspostcawomanofthew"
30,"eekerinoneill"
30,"…"
30,"proudofplanning"
30,"CIPICU"
30,"RMwoodbuffalo"
30,"ymm"
30,"ymmfire"
31,"ymm"
31,"residents"
31,"to"
31,"get"
31,"facetoface"
31,"answers"
31,"on"
31,"whopping"
31,"utility"
31,"bills"
31,"ymmfire"
31,"http"
31,"bitly2d6NOhJ"
31,"pictwittercomljQnwhO36G"
32,"ICYMI"
32,"Direct"
32,"Energy"
32,"sending"
32,"team"
32,"to"
32,"ymm"
32,"after"
32,"residents"
32,"shocked"
32,"by"
32,"steep"
32,"power"
32,"bills"
32,"after"
32,"fleeing"
32,"ymmfire"
32,""
32,"yeg"
32,"http"
32,"glbncapt5j39"
33,"Direct"
33,"Energy"
33,"to"
33,"answer"
33,"utility"
33,"bill"
33,"questions"
33,"facetoface"
33,"in"
33,"Fort"
33,"McMurray"
33,"http"
33,"owlyae22304E8CW"
33,"ymmfire"
33,"pictwittercomTFfx14rtOa"
34,"Utility"
34,"fees"
34,"were"
34,"covered"
34,"in"
34,"Slave"
34,"Lake"
34,"and"
34,"Lac"
34,"Megantic"
34,"disaster"
34,"but"
34,"there"
34,"are"
34,"differences"
34,"from"
34,"those"
34,"to"
34,"the"
34,"ymmfire"
34,"ymm"
35,"Now"
35,"the"
35,"ymmfire"
35,"overlay"
35,"This"
35,"landuse"
35,"bylaw"
35,"amendment"
35,"will"
35,"allow"
35,"our"
35,"community"
35,"to"
35,"rebuild"
35,"creating"
35,"certainty"
35,"for"
35,"those"
35,"rebuilding"
35,"ymm"
36,"What"
36,"are"
36,"you"
36,"talking"
36,"about"
36,"Brandon"
36,"as"
36,"a"
36,"ymm"
36,"citizen"
36,"I"
36,"can"
36,"say"
36,"that"
36,"all"
36,"levels"
36,"of"
36,"Govt"
36,"have"
36,"been"
36,"fantastic"
36,"to"
36,"our"
36,"community"
36,"after"
36,"ymmfire"
36,"https"
36,"twittercomsloburn21sta"
36,"tus780916206601703424"
36,"…"
37,"please"
37,"send"
37,"more"
37,"resources"
37,"to"
37,"deal"
37,"with"
37,"ymmfire"
37,"response"
37,"Feeling"
37,"neglected"
38,"Curious"
38,"whether"
38,"ABEP"
38,"will"
38,"complete"
38,"a"
38,"ymmfire"
38,"study"
38,"based"
38,"on"
38,"Indigenous"
38,"Knowledge"
38,"similar"
38,"to"
38,"US"
38,"Forest"
38,"Service"
38,"httpswww"
38,"googlecaurlsatsourc"
38,"ewebrctjurlhttpwwwfsfedusrmpubsotherrmrs2012masonl001pdfved0ahUKEwiat4u0aPAhVsxYMKHW74AtUQFggbMAAusgAFQjCNFmXRV37VLRG6Wy4d85U2CNSrvgsig2Gv6rbiq44raHecge5BOPUQ"
38,"…"
39,"Unpacking"
39,"how"
39,"this"
39,"tool"
39,"can"
39,"be"
39,"applied"
39,"to"
39,"the"
39,"ymmfire"
39,""
39,"wbrecovery"
39,"TamarackInst"
39,"CCI2016"
39,"pictwittercomFdvdNaI3sA"
40,"We"
40,"recently"
40,"donated"
40,"80000"
40,"to"
40,"both"
40,"LoisHoleHosp"
40,""
40,"RMHCNA"
40,"to"
40,"say"
40,"thanks"
40,"for"
40,"support"
40,"yeg"
40,"provided"
40,"during"
40,"ymmfire"
40,""
40,"http"
40,"owlyQaAv304BPj0"
41,"Listen"
41,"To"
41,"Me"
41,"Talk"
41,"about"
41,"Living"
41,"Purposefully"
41,"a"
41,"message"
41,"in"
41,"my"
41,"book"
41,"THROUGHTHEFIRE"
41,"ymmfire"
41,"YMMSTRONG"
41,"ALBERTASTRONG"
41,"http"
41,"bitly1B5vFCh"
42,"Judi"
42,"Frank"
42,"redcrosscanada"
42,"addressing"
42,"the"
42,"range"
42,"of"
42,"activity"
42,"and"
42,"ongoing"
42,"support"
42,"to"
42,"ymmfire"
42,"communities"
42,"AIDRNews"
42,"RedCrossAU"
42,"pictwittercomWyRyZAGw5x"
43,"The"
43,"new"
43,"normal"
43,"ymmfire"
43,"RMWB"
43,"iamspecialized"
43,"habitualsports"
43,"pictwittercomj8XcpOveY3"
44,"This"
44,"was"
44,"a"
44,"very"
44,"long"
44,"time"
44,"coming"
44,"This"
44,"is"
44,"progress"
44,"ymm"
44,"ymmfire"
