"tweets","words"
1,"Thank"
1,"You"
1,"for"
1,"everything"
1,"you"
1,"did"
1,"for"
1,"our"
1,"customers"
1,"community"
1,"and"
1,"Team"
1,"during"
1,"ymmfire"
1,""
1,"Rockstar"
1,"SVPMVP"
1,"therealamandae"
1,"https"
1,"twittercomtherealamanda"
1,"estatus803735956998103040"
1,"…"
2,"I"
2,"wrote"
2,"this"
2,"yesterday"
2,"while"
2,"reflecting"
2,"on"
2,"Elsie"
2,"Yanik’s"
2,"Lesson"
2,"of"
2,"Kindness"
2,"I"
2,"hope"
2,"you"
2,"enjoy"
2,"ymm"
2,"ymmfire"
2,"httpwww"
2,"willowspringssscom1post201611"
2,"elsieyanikslessonofkindnesshtml"
2,"…"
3,"GatlinburgTN"
3,"Sending"
3,"thoughts"
3,"and"
3,"strength"
3,"from"
3,"ymm"
3,""
3,"we"
3,"share"
3,"your"
3,"pain"
3,"as"
3,"we"
3,"experienced"
3,"ymmfire"
3,"in"
3,"May16"
3,"Stay"
3,"safe"
3,"stay"
3,"strong"
4,""
4,"Gatlinburg"
4,"looks"
4,"A"
4,"LOT"
4,"like"
4,"Fort"
4,"McMurray"
4,"Alberta"
4,"after"
4,"FortMacFire"
4,"ymmfire"
4,""
4,"Town"
4,"shd"
4,"look"
4,"to"
4,"abndpcaucus"
4,"for"
4,"tips"
4,"moving"
4,"forward"
5,"As"
5,"a"
5,"survivor"
5,"and"
5,"witness"
5,"of"
5,"the"
5,"ymmfire"
5,""
5,"my"
5,"heart"
5,"is"
5,"breaking"
5,"for"
5,"the"
5,"people"
5,"of"
5,"Gatlinburg"
5,"and"
5,"surrounding"
5,"area"
5,"Stay"
5,"safe"
5,"stay"
5,"strong"
6,"Gatlinburg"
6,"wildfires"
6,"bringing"
6,"back"
6,"ymmfire"
6,"memories"
6,"Stay"
6,"safe"
6,"TN"
6,"prayforrain"
6,"https"
6,"twittercomMatthewKickst"
6,"atus803672828054618112"
6,"…"
7,"Congrats"
7,"MattHalwachsTD"
7,""
7,"therealamandae"
7,"on"
7,"your"
7,"SVP"
7,"Pick"
7,"Well"
7,"deserved"
7,"Leadership"
7,"AlbertaStrong"
7,"YMMFire"
7,"ToddLinnenTD"
7,"pictwittercomgf61UOQZQd"
8,"Our"
8,"latest"
8,"blog"
8,"post"
8,"shares"
8,"our"
8,"key"
8,"takeaways"
8,"from"
8,"this"
8,"year’s"
8,"ymmfire"
8,""
8,"Read"
8,"it"
8,"here"
8,"http"
8,"bitly2fIzh6Z"
8,"restoration"
8,"disastermgmt"
9,"Our"
9,"employees"
9,"pulled"
9,"together"
9,"in"
9,"a"
9,"time"
9,"of"
9,"great"
9,"need"
9,"in"
9,"response"
9,"to"
9,"the"
9,"ymmfire"
9,"in"
9,"May"
9,"Hear"
9,"their"
9,"stories"
9,"http"
9,"sunrgytMwY306Dkfw"
10,"Oh"
10,"man"
10,"the"
10,"images"
10,"from"
10,"gatlinburg"
10,"are"
10,"too"
10,"strongly"
10,"reminiscent"
10,"of"
10,"ymmfire"
10,""
11,"Shout"
11,"out"
11,"to"
11,"the"
11,"folks"
11,"in"
11,"the"
11,"Gatlinburg"
11,"TN"
11,"area"
11,"We"
11,"Fort"
11,"McMurray"
11,"AB"
11,"folks"
11,"know"
11,"what"
11,"youre"
11,"going"
11,"through"
11,"right"
11,"now"
11,"wildfire"
11,"ymmfire"
12,"Looks"
12,"just"
12,"like"
12,"the"
12,"ymmfire"
12,""
12,"Terrible"
12,"to"
12,"see"
12,"https"
12,"twittercommadisonwadeWBI"
12,"Rstatus803556799081250816"
12,"…"
13,"Wow"
13,"Awful"
13,"Sadly"
13,"Ive"
13,"seen"
13,"a"
13,"similar"
13,"fire"
13,"before"
