"tweets","words"
1,"No"
1,"not"
1,"even"
1,"close"
1,"CocaCola"
1,"ymmfire"
1,"ymm"
1,"pictwittercom84xPFAei1j"
2,"Wildfire"
2,"causes"
2,"GDP"
2,"to"
2,"see"
2,"biggest"
2,"monthly"
2,"drop"
2,"in"
2,"seven"
2,"years"
2,"httpwww"
2,"mix1037fmcom20160730106"
2,"44V50cwIKnvaUtwitter"
2,"…"
2,"ymm"
2,"ymmfire"
2,"rmwb"
2,"pictwittercomGw6VwVcoyd"
3,"Wildfire"
3,"causes"
3,"GDP"
3,"to"
3,"see"
3,"biggest"
3,"monthly"
3,"drop"
3,"in"
3,"seven"
3,"years"
3,"httpwww"
3,"mix1037fmcom20160730106"
3,"44V50cwIKnvaUtwitter"
3,"…"
3,"ymm"
3,"ymmfire"
3,"rmwb"
3,"pictwittercomv5nOZxmRvI"
4,"AW"
4,"welcoming"
4,"back"
4,"everyone"
4,"with"
4,"free"
4,"burgers"
4,"httpwww"
4,"mix1037fmcom20160730106"
4,"36V50YGeAcvktwitter"
4,"…"
4,"ymm"
4,"ymmfire"
4,"rmwb"
5,"AW"
5,"welcoming"
5,"back"
5,"everyone"
5,"with"
5,"free"
5,"burgers"
5,"httpwww"
5,"mix1037fmcom20160730106"
5,"36V50YGeAcvktwitter"
5,"…"
5,"ymm"
5,"ymmfire"
5,"rmwb"
6,"fmspca"
6,"is"
6,"OPEN"
6,"Wed"
6,"to"
6,"Sun"
6,"July"
6,"2731"
6,"115pm"
6,"for"
6,"FREE"
6,"pet"
6,"supplies"
6,"Kennels"
6,"toys"
6,"more"
6,"ymmfire"
6,"ymmstrong"
6,"ymm"
6,"pictwittercom0j1f2P87Lm"
7,"First"
7,"public"
7,"meeting"
7,"for"
7,"recovery"
7,"committee"
7,"httpwww"
7,"mix1037fmcom20160730106"
7,"29V5zzZ7czI0ktwitter"
7,"…"
7,"ymm"
7,"ymmfire"
7,"rmwb"
7,"pictwittercomWIVLYluEXL"
8,"First"
8,"public"
8,"meeting"
8,"for"
8,"recovery"
8,"committee"
8,"httpwww"
8,"mix1037fmcom20160730106"
8,"29V5zzZ7czI0ktwitter"
8,"…"
8,"ymm"
8,"ymmfire"
8,"rmwb"
8,"pictwittercomCUMl3qJ1ZX"
9,"fmspca"
9,"is"
9,"OPEN"
9,"Wed"
9,"to"
9,"Sun"
9,"July"
9,"2731"
9,"115pm"
9,"for"
9,"FREE"
9,"pet"
9,"supplies"
9,"Kennels"
9,"toys"
9,"more"
9,"ymmfire"
9,"ymmstrong"
9,"ymm"
9,"pictwittercom5A8EgKdaxc"
10,"More"
10,"from"
10,"crdac"
10,"regarding"
10,"ymm"
10,"urban"
10,"Councillors"
10,"using"
10,"ymmfire"
10,"to"
10,"cancel"
10,"essential"
10,"service"
10,"for"
10,"a"
10,"Metis"
10,"community"
10,"httpwww"
10,"fortmacconnectca201607major"
10,"blowtoconklinmultiplex"
10,"…"
11,"Do"
11,"you"
11,"have"
11,"some"
11,"time"
11,"to"
11,"volunteer"
11,"this"
11,"week"
11,"ymm"
11,"Sign"
11,"up"
11,"here"
11,""
11,"help"
11,"the"
11,"fmspca"
11,"http"
11,"owlycUK2302mAl8"
11,"ymmfire"
11,"pictwittercomEPt0dUMxTh"
12,""
12,"apicazo"
12,"Great"
12,"choice"
12,"Excellent"
12,"read"
12,"by"
12,"warnicam"
12,"on"
12,"the"
12,"ymmfire"
12,""
13,"Next"
13,"Canadas"
13,"GDP"
13,"dropped"
13,"significantly"
13,"in"
13,"May"
13,"due"
13,"to"
13,"the"
13,"ymmfire"
13,"I"
13,"talk"
13,"to"
13,"trevortombe"
13,"about"
13,"the"
13,"numbers"
13,"http"
13,"playernewstalk770com"
14,"May"
14,"was"
14,"the"
14,"worst"
14,"month"
14,"for"
14,"Canadas"
14,"economy"
14,"in"
14,"more"
14,"than"
14,"7"
14,"years"
14,"httpwww"
14,"cbcca13693968"
14,"cdnpoli"
14,"canada"
14,"abfire"
14,"ymmfire"
14,"abpoli"
15,"Alberta"
15,"fires"
15,"torch"
15,"economy"
15,"biggest"
15,"monthly"
15,"GDP"
15,"decline"
15,"in"
15,"more"
15,"than"
15,"7"
15,"years"
15,"ymmfire"
15,"httpwww"
15,"nationalobservercom20160729new"
15,"salbertafirestorcheconomybiggestmonthlygdpdeclinemore7years"
15,"…"
16,"Syncrude"
16,"saves"
16,"summer"
16,"tree"
16,"planting"
16,"program"
16,"despite"
16,"delay"
16,"due"
16,"to"
16,"ymmfire"
16,""
16,"http"
16,"owlybsk6302JLSh"
16,"oilsands"
16,"ymm"
16,"pictwittercomZAmXFmCUXF"
17,"Dans"
17,"la"
17,"série"
17,"des"
17,"pertes"
17,"au"
17,"2e"
17,"trimestre"
17,"à"
17,"cause"
17,"de"
17,"ymmfire"
17,""
17,"Enbridge"
17,"et"
17,"Imperial"
17,"Oil"
17,"http"
17,"iciradiocanadacaregionsalbert"
