"tweets","words"
1,"Life"
1,"is"
1,"inching"
1,"back"
1,"to"
1,"normal"
1,"in"
1,"Fort"
1,"McMurray"
1,"but"
1,"still"
1,"many"
1,"lingering"
1,"signs"
1,"of"
1,"the"
1,"wildfire"
1,"11"
1,"months"
1,"later"
1,"yeg"
1,"ymm"
1,"ymmfire"
1,"pictwittercomfNSua2wAvy"
2,"Fort"
2,"McMurray"
2,"gives"
2,"wildfireaffected"
2,"homeowners"
2,"another"
2,"year"
2,"of"
2,"property"
2,"tax"
2,"relief"
2,"httpwww"
2,"cbcca14045208"
2,"ymmfire"
3,"Tax"
3,"relief"
3,"on"
3,"the"
3,"way"
3,"for"
3,"Fort"
3,"McMurray"
3,"homeowners"
3,"with"
3,"irreparable"
3,"damage"
3,"ymm"
3,"ymmfire"
3,"http"
3,"glbnca8NZ0Q5"
4,"Tax"
4,"relief"
4,"on"
4,"the"
4,"way"
4,"for"
4,"Fort"
4,"McMurray"
4,"homeowners"
4,"with"
4,"irreparable"
4,"damage"
4,"ymm"
4,"ymmfire"
4,"http"
4,"glbnca4sYTMT"
5,"Tax"
5,"relief"
5,"on"
5,"the"
5,"way"
5,"for"
5,"Fort"
5,"McMurray"
5,"homeowners"
5,"with"
5,"irreparable"
5,"damage"
5,"ymm"
5,"ymmfire"
5,"http"
5,"glbncaEZdfmm"
6,"Thank"
6,"you"
6,"MercerReport"
6,"The"
6,"Kids"
6,"are"
6,"Still"
6,"Alright"
6,"A"
6,"great"
6,"message"
6,"of"
6,"the"
6,"recovery"
6,"process"
6,"from"
6,"ymmfire"
6,"in"
6,"ymm"
6,""
6,"https"
6,"youtubehaCxDGaGkHk"
7,"Need"
7,"to"
7,"plan"
7,"for"
7,"needs"
7,"of"
7,"staff"
7,"food"
7,"water"
7,"rest"
7,"they"
7,"want"
7,"to"
7,"help"
7,"but"
7,"are"
7,"human"
7,"too"
7,"DSadoway"
7,"TOPHC2017"
7,"ymmfire"
8,"More"
8,"lessons"
8,"learned"
8,"from"
8,"Fort"
8,"Mac"
8,"plan"
8,"for"
8,"temporary"
8,"healthcare"
8,"facilities"
8,"know"
8,"how"
8,"to"
8,"manage"
8,"volunteers"
8,"TOPHC2017"
8,"YMM"
8,"YMMfire"
9,"Communications"
9,"essential"
9,""
9,"internal"
9,"AND"
9,"external"
9,"during"
9,"Fort"
9,"Mac"
9,"wildfires"
9,"TOPHC1017"
9,"YMM"
9,"YMMfire"
10,"Fort"
10,"Mac"
10,"wildfires"
10,"1600"
10,"firefighters"
10,"helped"
10,"contain"
10,"the"
10,"fire"
10,"with"
10,"helicopters"
10,"tankers"
10,"and"
10,"other"
10,"heavy"
10,"equipment"
10,"TOPHC2017"
10,"ymm"
10,"YMMfire"
11,"June"
11,"21"
11,"2016"
11,""
11,"full"
11,"health"
11,"services"
11,"restored"
11,"in"
11,"Fort"
11,"Mac"
11,"TOPHC2017"
11,"YMM"
11,"YMMfire"
12,"RT"
12,"TOPHCtweets"
12,""
12,"“The"
12,"air"
12,"was"
12,"not"
12,"good"
12,"the"
12,"entire"
12,"time”"
12,"Dr"
12,"Chris"
12,"Sikora"
12,"on"
12,"Fort"
12,"Mac"
12,"wildfire"
12,"recovery"
12,"TOPHC2017"
12,"YMM"
12,"ymmfire"
13,"Disaster"
13,"recovery"
13,"after"
13,"Fort"
13,"Mac"
13,"wildfire"
13,"Air"
13,"water"
13,"food"
13,"housing"
13,"utilities"
13,"you"
13,"name"
13,"it"
13,"TOPHC2017"
13,"YMM"
13,"YMMfire"
14,"The"
14,"air"
14,"was"
14,"not"
14,"good"
14,"the"
14,"entire"
14,"time"
14,"Dr"
14,"Chris"
14,"Sikora"
14,"on"
14,"Fort"
14,"Mac"
14,"wildfire"
14,"recovery"
14,"TOPHC2017"
14,"YMM"
14,"ymmfire"
15,"June"
15,"1"
15,"2016"
15,"one"
15,"month"
15,"later"
15,"limited"
15,"Publichealth"
15,"and"
15,"homecare"
15,"services"
15,"TOPHC2017"
15,"YMM"
15,"Ymmfire"
16,"MT"
16,"TOPHCtweets"
16,""
16,"most"
16,"highly"
16,"utilized"
16,"resource"
16,"by"
16,"evacuees"
16,"during"
16,"Fort"
16,"Mac"
16,"Wildfires"
16,"was"
16,"pharmacy"
16,"services"
16,"TOPHC2017"
16,"Ymmfire"
16,"cc"
16,"ncceh"
17,"Field"
17,"hospital"
17,"set"
17,"up"
17,"after"
17,"Fort"
17,"Mac"
17,"wildfires"
17,"included"
17,"operating"
17,"room"
17,"TOPHC2017"
17,"ymm"
17,"ymmfire"
18,"The"
18,"most"
18,"highly"
18,"utilized"
18,"resource"
18,"by"
18,"evacuees"
18,"during"
18,"Fort"
18,"Mac"
18,"Wildfires"
18,"was"
18,"pharmacy"
18,"services"
18,"TOPHC2017"
18,"Ymm"
18,"Ymmfire"
19,"May"
19,"4"
19,"2016"
19,""
19,"state"
19,"of"
19,"emergency"
19,"declared"
19,"and"
19,"82000"
19,"residents"
19,"evacuated"
19,"0"
19,"lives"
19,"lost"
19,"2400"
19,"structures"
19,"destroyed"
19,"TOPHC2017"
19,"Ymmfire"
20,"Fort"
20,"Mac"
20,"docs"
20,"travelled"
20,"to"
20,"Edmonton"
20,"to"
20,"ensure"
20,"their"
20,"patients"
20,"would"
20,"see"
20,"their"
20,"usual"
20,"doc"
20,"during"
20,"2016"
20,"wild"
20,"fires"
20,"TOPHC2017"
20,"YMM"
20,"YMMfire"
21,"Partnerships"
21,"integral"
21,"to"
21,"provide"
21,"ambulatory"
21,"services"
21,"including"
21,"UAlberta"
21,"residences"
21,"offered"
21,"up"
21,"during"
21,"Fort"
21,"Mac"
21,"wildfires"
21,"TOPHC2017"
21,"YMMfire"
22,"Healthlink"
22,"was"
22,"critical"
22,"service"
22,"esp"
22,"for"
22,"those"
22,"not"
22,"regularly"
22,"in"
22,"reception"
22,"centres"
22,"or"
22,"needing"
