"tweets","words"
1,"Do"
1,"I"
1,"think"
1,"warming"
1,"hurts"
1,"Alberta"
1,"Absolutely"
1,"Expect"
1,"more"
1,"flooding"
1,"Calgaryflood"
1,"More"
1,"fires"
1,"ymmfire"
1,"More"
1,"drought"
1,"httpswww"
1,"cbccanewscanadaca"
1,"lgaryalbertadroughtpreparation14790237"
1,"…"
2,"httpswww"
2,"gofundmecommemorialford"
2,"arrenandersonpctwdncpgnsharemorerrcidr011537628979080dd30c9c9c0f4821"
2,"…"
2,"Darren"
2,"was"
2,"one"
2,"of"
2,"the"
2,"firefighters"
2,"that"
2,"went"
2,"to"
2,"fight"
2,"the"
2,"ymmfire"
2,"His"
2,"daughter"
2,"Sofia"
2,"sent"
2,"her"
2,"Grade"
2,"one"
2,"tree"
2,"up"
2,"with"
2,"her"
2,"Dad"
2,"for"
2,"him"
2,"to"
2,"plant"
2,"It"
2,"was"
2,"the"
2,"sweetest"
2,"gesture"
2,"hopetree"
2,"I"
2,"know"
2,"that"
2,"Darrens"
2,"character"
2,"will"
2,"live"
2,"on"
2,"in"
2,"his"
2,"3"
2,"amazing"
2,"daughters"
3,"Every"
3,"participant"
3,"in"
3,"this"
3,"weekends"
3,"Fort"
3,"McMurray"
3,"Marathon"
3,"walked"
3,"away"
3,"with"
3,"a"
3,"sapling"
3,"to"
3,"plant"
3,"as"
3,"part"
3,"of"
3,"reforestation"
3,"efforts"
3,"http"
3,"cbcca14825027"
3,"ymm"
3,"ymmfire"
3,"RMWoodBuffalo"
3,"pictwittercomE4cJG7jHf3"
4,"1"
4,"Its"
4,"kind"
4,"of"
4,"a"
4,"Can"
4,"We"
4,"Evacuate"
4,"Manhattan"
4,"question"
4,"The"
4,"YMMfire"
4,"evacuation"
4,"got"
4,"everyone"
4,"our"
4,"of"
4,"their"
4,"Hospital"
4,""
4,"but"
4,"their"
4,"patientnumbers"
4,"were"
4,"low"
4,"https"
4,"globalnewscanews2690893h"
4,"eroicmeasurespraisedduringthefortmcmurrayhospitalevacuation"
4,"…"
5,"That"
5,"is"
5,"my"
5,"first"
5,"notice"
5,"from"
5,"AccessibilityLens"
5,"since"
5,"ymmfire"
5,""
5,"That"
5,"gave"
5,"us"
5,"RED"
5,"flag"
5,"about"
5,"RachelNotley"
5,"s"
5,"attitude"
5,"toward"
5,"Deaf"
5,""
5,"Accessibility"
5,"people"
5,"lately"
5,"My"
5,"first"
5,"impression"
5,"of"
5,"Rachel"
5,"disregarding"
5,"about"
5,"Alberta"
5,"Emergency"
5,"events"
5,""
5,"ymmfire"
5,"without"
5,"SL"
5,"Interpreters"
5,"Ableg"
5,"pictwittercomPGBX8psk7I"
