"tweets","words"
1,"ymm"
1,"ymmfire"
1,"ableg"
1,"ucp"
1,"abndp"
1,"abparty"
1,"https"
1,"twittercomJasonVdzwaags"
1,"tatus924827382661435394"
1,"…"
2,"Anyone"
2,"remember"
2,"the"
2,"Press"
2,"conference"
2,"with"
2,"BrianJeanAB"
2,""
2,"RachelNotley"
2,"after"
2,"ymmfire"
2,""
2,"Jean"
2,"was"
2,"crying"
2,"Actually"
2,"crying"
2,"Raw"
2,"emotition"
3,"Welcome"
3,"home"
3,"Poppy"
3,"scarlettbuilthomes"
3,"ymmfire"
3,"ymmrebuild"
3,"Fort"
3,"mcmurray"
3,"alberta"
3,"httpswww"
3,"instagramcompBazGSxRD529"
4,"fortmcmurray"
4,"ymmfire"
4,"ableg"
4,"abpoli"
4,"https"
4,"twittercomLaurelCoonsst"
4,"atus924048721091940352"
4,"…"
5,"Siding"
5,"So"
5,"exciting"
5,"to"
5,"see"
5,"progress"
5,"home"
5,"ournewplace"
5,"ymmfire"
5,"…"
5,"httpswww"
5,"instagramcompBauZfWDBAYPi"
5,"rRrbOeg4pycutpT2oXcCnQyAlc0"
5,"…"
6,""
6,"InsuranceBureau"
6,"s"
6,"Western"
6,"VP"
6,"Bill"
6,"Adams"
6,"on"
6,"Role"
6,"of"
6,"insurance"
6,"industry"
6,"during"
6,""
6,"post"
6,"ymmfire"
6,"at"
6,"Saskatchewan"
6,"Emergency"
6,"Planners"
6,"Assoc"
6,"pictwittercomLxjK2kVq7R"
7,"Seeing"
7,"whole"
7,"trees"
7,"fall"
7,"due"
7,"to"
7,"wind"
7,"along"
7,"hwy63"
7,"in"
7,"areas"
7,"affected"
7,"by"
7,"ymmfire"
7,"stay"
7,"out"
7,"of"
7,"the"
7,"forest"
7,""
7,"off"
7,"trails"
7,"ymm"
8,"The"
8,"Fubar"
8,"boys"
8,"take"
8,"on"
8,"yyc"
8,"after"
8,"fleeing"
8,"ymmfire"
8,""
8,"Too"
8,"soon"
8,"for"
8,"wildfire"
8,"jokes"
8,"or"
8,"all"
8,"in"
8,"good"
8,"fun"
8,"ymm"
8,""
8,"yeg"
8,"ableg"
8,"foul"
8,"language"
8,"https"
8,"twittercomvicelandcast"
8,"atus918174374640828416"
8,"…"
9,"CaliforniaFires"
9,"remind"
9,"me"
9,"of"
9,"ymmfire"
9,""
9,"Real"
9,"life"
9,"horror"
9,"FirstResponders"
9,"are"
9,"real"
9,"life"
9,"heroes"
10,"Edmonton"
10,"is"
10,"an"
10,"incredible"
10,"city"
10,"Couldnt"
10,"have"
10,"been"
10,"treated"
10,"better"
10,"by"
10,"the"
10,"people"
10,"there"
10,"during"
10,"the"
10,"YMMFire"
10,"evacuation"
10,"https"
10,"twittercomEdmontonOilers"
10,"status914614385796173824"
10,"…"
