"tweets","words"
1,"Not"
1,"just"
1,"insurance"
1,"companies"
1,"though"
1,"I"
1,"had"
1,"a"
1,"build"
1,"contract"
1,"with"
1,"novhausmovement"
1,"which"
1,"they"
1,"failed"
1,"to"
1,"fulfill"
1,"Now"
1,"they"
1,"have"
1,"over"
1,"100000"
1,"of"
1,"my"
1,"insurance"
1,"settlement"
1,""
1,"are"
1,"unwilling"
1,"unable"
1,"to"
1,"give"
1,"it"
1,"back"
1,"because"
1,"theyre"
1,"seemingly"
1,"on"
1,"their"
1,"way"
1,"to"
1,"bankruptcy"
1,"ymm"
1,"ymmfire"
2,"Students"
2,"still"
2,"dealing"
2,"with"
2,"mental"
2,"illness"
2,"after"
2,"2016"
2,"Fort"
2,"McMurray"
2,"fires"
2,"study"
2,""
2,"http"
2,"owlyzEQA30nt944"
2,"http"
2,"owly6ItE30nt943"
2,"FortMacStrong"
2,"ymmfire"
2,"ABfire"
2,"resilience"
2,"HT"
2,"firebobbc"
3,"For"
3,"anyone"
3,"who"
3,"thinks"
3,"ymmfire"
3,"recovery"
3,"is"
3,"over"
3,"and"
3,"we"
3,"should"
3,"just"
3,"get"
3,"on"
3,"with"
3,"it"
3,"dont"
3,"really"
3,"understand"
3,"the"
3,"challenges"
3,"in"
3,"ymm"
3,""
3,"https"
3,"twittercomFortMacTodays"
3,"tatus1085339272067014657"
3,"…"
4,"My"
4,"reaction"
4,"confirms"
4,"what"
4,"I"
4,"learned"
4,"after"
4,"losing"
4,"everything"
4,"in"
4,"the"
4,"ymmfire"
4,"We"
4,"place"
4,"a"
4,"lot"
4,"of"
4,"emotion"
4,"in"
4,"our"
4,"things"
4,"but"
4,"once"
4,"it’s"
4,"all"
4,"gone"
4,"we"
4,"realize"
4,"how"
4,"much"
4,"we"
4,"didn’t"
4,"need"
4,"choosing"
4,"to"
4,"only"
4,"replace"
4,"essentialsAlso"
4,"that"
4,"the"
4,"things"
4,"you"
4,"do"
4,"have"
4,"should"
4,"bring"
4,"great"
4,"joy"
4,"lessismore"
