"tweets","words","sentiment"
1,"Looking",NA
1,"forward","positive"
1,"to",NA
1,"the",NA
1,"discussion","positive"
1,"ymmfire",NA
2,"",NA
2,"InsuranceBureau",NA
2,"revealed",NA
2,"ymmfire",NA
2,"caused",NA
2,"36",NA
2,"billion",NA
2,"of",NA
2,"damage","anger"
2,"damage","disgust"
2,"damage","negative"
2,"damage","sadness"
2,"damage","negative"
2,"damage",NA
2,"damage","negative"
2,"",NA
2,"Canadas",NA
2,"costliest",NA
2,"disaster","anger"
2,"disaster","disgust"
2,"disaster","fear"
2,"disaster","negative"
2,"disaster","sadness"
2,"disaster","surprise"
2,"disaster","negative"
2,"disaster",NA
2,"disaster","negative"
2,"Canada150",NA
2,"150MoneyFacts",NA
3,"What",NA
3,"four",NA
3,"hours",NA
3,"of",NA
3,"ymmfire",NA
3,"looked",NA
3,"like","positive"
3,"like",NA
3,"on",NA
3,"Twitter",NA
3,"httpswww",NA
3,"youtubecomwatchvf7KTLh",NA
3,"3ooAI",NA
3,"…",NA
4,"From",NA
4,"my",NA
4,"very",NA
4,"short",NA
4,"stint","fear"
4,"stint","negative"
4,"stint","sadness"
4,"in",NA
4,"Anzac",NA
4,"during",NA
4,"the",NA
4,"ymmfire",NA
4,"hydrants",NA
4,"would",NA
4,"have",NA
4,"been",NA
4,"great","positive"
4,"great",NA
4,"great","positive"
4,"https",NA
4,"twittercomcullenbirdsta",NA
4,"tus877333907774898178",NA
4,"…",NA
5,"The",NA
5,"always",NA
5,"incredible","positive"
5,"incredible","positive"
5,"sarafalconer",NA
5,"just",NA
5,"being",NA
5,"more",NA
5,"incredible","positive"
5,"incredible","positive"
5,"redcross",NA
5,"ymm",NA
5,"ymmfire",NA
5,"ABfires",NA
5,"https",NA
5,"twittercomredcrosscanada",NA
5,"status877298584823226368",NA
5,"…",NA
6,"Fort",NA
6,"McMurray",NA
6,"wildfire","fear"
6,"wildfire","negative"
6,"wildfire","sadness"
6,"wildfire","surprise"
6,"tweets",NA
6,"show","trust"
6,"key",NA
6,"info",NA
6,"missing","fear"
6,"missing","negative"
6,"missing","sadness"
6,"missing",NA
6,"during",NA
6,"disasters",NA
6,"disasters","negative"
6,"U",NA
6,"of",NA
6,"C",NA
6,"http",NA
6,"paperliMaviUfo149504",NA
6,"7503readhttp3A2F2Fglobalnewsca2Fnews2F35398502Ffort2Dmcmurray2Dwildfire2Dtweets2Dshow2Dkey2Dinfo2Dmissing2Dduring2Ddisasters2Du2Dof2Dc2F",NA
6,"…",NA
6,"ymmfire",NA
7,"Great",NA
7,"story",NA
7,"about",NA
7,"our",NA
7,"software",NA
7,"engineers",NA
7,"analyzing",NA
7,"ymmfire",NA
7,"tweets",NA
7,"to",NA
7,"help",NA
7,"in",NA
7,"future",NA
7,"emergencies",NA
7,"http",NA
7,"bitly2rRhfW6",NA
7,"UCalgary",NA
8,"This",NA
8,"is",NA
8,"the",NA
8,"exact",NA
8,"thing",NA
8,"wildfire","fear"
8,"wildfire","negative"
8,"wildfire","sadness"
8,"wildfire","surprise"
8,"recovery","positive"
8,"recovery","positive"
8,"committee","trust"
8,"was",NA
8,"supposed",NA
8,"to",NA
