"tweets","words","sentiment"
1,"In",NA
1,"some",NA
1,"cases",NA
1,"smaller",NA
1,"municipalities",NA
1,"only",NA
1,"have",NA
1,"radio","positive"
1,"stations",NA
1,"where",NA
1,"ABEmergAlert",NA
1,"broadcasts",NA
1,"during",NA
1,"the",NA
1,"ymmfire",NA
1,"text",NA
1,"message",NA
1,"alerts","anticipation"
1,"alerts","fear"
1,"alerts","surprise"
1,"didnt",NA
1,"exist",NA
1,"and",NA
1,"radio","positive"
1,"station",NA
1,"announcers",NA
1,"were",NA
1,"the",NA
1,"only",NA
1,"local",NA
1,"broadcasters",NA
1,"airing",NA
1,"evacuation","negative"
1,"directions",NA
1,"until",NA
1,"the",NA
1,"alerts","anticipation"
1,"alerts","fear"
1,"alerts","surprise"
1,"kicked",NA
1,"in",NA
2,"Well",NA
2,"deserved","positive"
2,"Incredible",NA
2,"work","positive"
2,"during",NA
2,"some",NA
2,"of",NA
2,"the",NA
2,"toughest","positive"
2,"days",NA
2,"in",NA
2,"Albertas",NA
2,"history",NA
2,"ymmfire",NA
2,"ableg",NA
2,"abpoli",NA
2,"ymm",NA
2,"https",NA
2,"twittercomRachelNotleys",NA
2,"tatus1000086767641362432",NA
2,"…",NA
3,"",NA
3,"ABEmergAlert",NA
3,"triggered",NA
3,"for",NA
3,"an",NA
3,"out",NA
3,"of",NA
3,"control",NA
3,"wildfire","fear"
3,"wildfire","negative"
3,"wildfire","sadness"
3,"wildfire","surprise"
3,"about",NA
3,"130km",NA
3,"south",NA
3,"of",NA
3,"Fort",NA
3,"McMurray",NA
3,"The",NA
3,"blaze","anger"
3,"blaze","negative"
3,"is",NA
3,"10km",NA
3,"south",NA
3,"of",NA
3,"Janvier",NA
3,"where",NA
3,"residents",NA
3,"are",NA
3,"being",NA
3,"asked",NA
3,"to",NA
3,"prepare","anticipation"
3,"prepare","positive"
3,"for",NA
3,"possible","uncertainty"
3,"evacuation","negative"
3,"yeg",NA
3,"ymm",NA
3,"abfire",NA
3,"ymmfire",NA
3,"ctvedmonton",NA
3,"pictwittercomgw3IQkV79T",NA
4,"BREAKING",NA
4,"A",NA
4,"Fire",NA
4,"Restriction",NA
4,"is",NA
4,"now",NA
4,"in",NA
4,"place",NA
4,"in",NA
4,"the",NA
4,"Fort",NA
4,"McMurray",NA
4,"Forest",NA
4,"Area",NA
4,"Please",NA
4,"refer",NA
4,"to",NA
4,"the",NA
4,"information","positive"
4,"on",NA
4,"this",NA
4,"fact","trust"
4,"sheet",NA
4,"The",NA
4,"Wildfire",NA
4,"Danger",NA
4,"level","positive"
4,"level","trust"
4,"is",NA
4,"extreme",NA
4,"AlbertaWildfire",NA
4,"ymm",NA
4,"rmwb",NA
4,"ymmfire",NA
