"tweets","words","sentiment"
1,"Life",NA
1,"is",NA
1,"inching",NA
1,"back",NA
1,"to",NA
1,"normal",NA
1,"in",NA
1,"Fort",NA
1,"McMurray",NA
1,"but",NA
1,"still",NA
1,"many",NA
1,"lingering","negative"
1,"signs",NA
1,"of",NA
1,"the",NA
1,"wildfire","fear"
1,"wildfire","negative"
1,"wildfire","sadness"
1,"wildfire","surprise"
1,"11",NA
1,"months",NA
1,"later",NA
1,"yeg",NA
1,"ymm",NA
1,"ymmfire",NA
1,"pictwittercomfNSua2wAvy",NA
2,"Fort",NA
2,"McMurray",NA
2,"gives",NA
2,"wildfireaffected",NA
2,"homeowners",NA
2,"another",NA
2,"year",NA
2,"of",NA
2,"property",NA
2,"tax","negative"
2,"tax","sadness"
2,"relief","positive"
2,"relief","positive"
2,"httpwww",NA
2,"cbcca14045208",NA
2,"ymmfire",NA
3,"Tax",NA
3,"relief","positive"
3,"relief","positive"
3,"on",NA
3,"the",NA
3,"way",NA
3,"for",NA
3,"Fort",NA
3,"McMurray",NA
3,"homeowners",NA
3,"with",NA
3,"irreparable","fear"
3,"irreparable","negative"
3,"irreparable","sadness"
3,"irreparable","negative"
3,"irreparable","negative"
3,"damage","anger"
3,"damage","disgust"
3,"damage","negative"
3,"damage","sadness"
3,"damage","negative"
3,"damage",NA
3,"damage","negative"
3,"ymm",NA
3,"ymmfire",NA
3,"http",NA
3,"glbnca8NZ0Q5",NA
4,"Tax",NA
4,"relief","positive"
4,"relief","positive"
4,"on",NA
4,"the",NA
4,"way",NA
4,"for",NA
4,"Fort",NA
4,"McMurray",NA
4,"homeowners",NA
4,"with",NA
4,"irreparable","fear"
4,"irreparable","negative"
4,"irreparable","sadness"
4,"irreparable","negative"
4,"irreparable","negative"
4,"damage","anger"
4,"damage","disgust"
4,"damage","negative"
4,"damage","sadness"
4,"damage","negative"
4,"damage",NA
4,"damage","negative"
4,"ymm",NA
4,"ymmfire",NA
4,"http",NA
4,"glbnca4sYTMT",NA
5,"Tax",NA
5,"relief","positive"
5,"relief","positive"
5,"on",NA
5,"the",NA
5,"way",NA
5,"for",NA
5,"Fort",NA
5,"McMurray",NA
5,"homeowners",NA
5,"with",NA
5,"irreparable","fear"
5,"irreparable","negative"
5,"irreparable","sadness"
5,"irreparable","negative"
5,"irreparable","negative"
5,"damage","anger"
5,"damage","disgust"
5,"damage","negative"
5,"damage","sadness"
5,"damage","negative"
5,"damage",NA
5,"damage","negative"
5,"ymm",NA
5,"ymmfire",NA
5,"http",NA
5,"glbncaEZdfmm",NA
6,"Thank",NA
6,"you",NA
6,"MercerReport",NA
6,"The",NA
6,"Kids",NA
6,"are",NA
6,"Still",NA
6,"Alright",NA
6,"A",NA
6,"great","positive"
6,"great",NA
6,"great","positive"
6,"message",NA
6,"of",NA
6,"the",NA
6,"recovery","positive"
6,"recovery","positive"
6,"process",NA
6,"from",NA
6,"ymmfire",NA
6,"in",NA
6,"ymm",NA
6,"",NA
6,"https",NA
6,"youtubehaCxDGaGkHk",NA
7,"Need",NA
7,"to",NA
7,"plan","anticipation"
7,"for",NA
7,"needs",NA
7,"of",NA
7,"staff",NA
7,"food","joy"
7,"food","positive"
7,"food","trust"
7,"water",NA
7,"rest","positive"
7,"they",NA
7,"want",NA
7,"to",NA
7,"help",NA
7,"but",NA
7,"are",NA
7,"human",NA
7,"too",NA
7,"DSadoway",NA
7,"TOPHC2017",NA
7,"ymmfire",NA
8,"More",NA
8,"lessons",NA
8,"learned",NA
8,"from",NA
8,"Fort",NA
8,"Mac",NA
8,"plan","anticipation"
8,"for",NA
8,"temporary",NA
