"tweets","words","sentiment"
1,"in",NA
1,"real","positive"
1,"real","trust"
1,"news",NA
1,"though",NA
1,"the",NA
1,"ymmfire",NA
1,"thing",NA
1,"is",NA
1,"actually",NA
1,"just",NA
1,"his",NA
1,"moms",NA
1,"basement",NA
2,"Ready",NA
2,"to",NA
2,"share","anticipation"
2,"share","joy"
2,"share","positive"
2,"share","trust"
2,"share",NA
2,"stories",NA
2,"about",NA
2,"the",NA
2,"ymmfire",NA
2,"with",NA
2,"my",NA
2,"friends",NA
2,"in",NA
2,"Conklin",NA
2,"Always",NA
2,"a",NA
2,"pleasure","positive"
2,"pleasure",NA
2,"pleasure","positive"
2,"to",NA
2,"work","positive"
2,"with",NA
2,"such",NA
2,"a",NA
2,"great","positive"
2,"great",NA
2,"great","positive"
2,"community","positive"
2,"ymm",NA
2,"Metis",NA
2,"Healing",NA
2,"pictwittercom5qQRooVHIR",NA
2,"–",NA
2,"bei",NA
2,"Conklin",NA
2,"General",NA
3,"in",NA
3,"real","positive"
3,"real","trust"
3,"news",NA
3,"though",NA
3,"the",NA
3,"ymmfire",NA
3,"thing",NA
3,"is",NA
3,"supposed",NA
3,"to",NA
3,"magically",NA
3,"confer",NA
3,"methods",NA
3,"on",NA
3,"a",NA
3,"class",NA
3,"and",NA
3,"it",NA
3,"doesnt",NA
4,"8",NA
4,"Its",NA
4,"simple",NA
4,"if",NA
4,"you",NA
4,"think",NA
4,"someone",NA
4,"raising",NA
4,"funds",NA
4,"for",NA
4,"ymmfire",NA
4,"victims",NA
4,"victims","negative"
4,"deserves",NA
4,"to",NA
4,"be",NA
4,"libeled","litigious"
4,"for",NA
4,"it",NA
4,"youre",NA
4,"a",NA
4,"bad","anger"
4,"bad","disgust"
4,"bad","fear"
4,"bad","negative"
4,"bad","sadness"
4,"bad","negative"
4,"bad",NA
4,"bad","negative"
4,"person",NA
4,"ABleg",NA
4,"ABpoli",NA
5,"6",NA
5,"Days",NA
5,"gambit",NA
5,"was",NA
5,"to",NA
5,"avoid","fear"
5,"avoid","negative"
5,"avoid",NA
5,"justice","positive"
5,"justice","trust"
5,"justice",NA
5,"justice","litigious"
5,"from",NA
5,"being",NA
5,"done",NA
5,"upon",NA
5,"him",NA
5,"for",NA
5,"fucking","negative"
5,"fucking",NA
5,"with",NA
5,"a",NA
5,"ymmfire",NA
5,"fundraiser",NA
5,"ABleg",NA
5,"ABpoli",NA
