"tweets","words","sentiment"
1,"Love",NA
1,"it",NA
1,"YMM",NA
1,"ymmfire",NA
2,"TY",NA
2,"hannahepperson",NA
2,"for",NA
2,"delivering",NA
2,"such",NA
2,"a",NA
2,"heart",NA
2,"felt",NA
2,"gift","anticipation"
2,"gift","joy"
2,"gift","positive"
2,"gift","surprise"
2,"gift",NA
2,"I",NA
2,"hope","anticipation"
2,"hope","joy"
2,"hope","positive"
2,"hope","surprise"
2,"hope","trust"
2,"hope",NA
2,"its",NA
2,"ok",NA
2,"that",NA
2,"I",NA
2,"share","anticipation"
2,"share","joy"
2,"share","positive"
2,"share","trust"
2,"share",NA
2,"it",NA
2,"with",NA
2,"those",NA
2,"in",NA
2,"ymm",NA
2,"who",NA
2,"lost","negative"
2,"lost","sadness"
2,"lost","negative"
2,"lost",NA
2,"lost","negative"
2,"homes",NA
2,"in",NA
2,"ymmfire",NA
2,"pictwittercomxs93tyH6aC",NA
3,"I",NA
3,"see",NA
3,"neighbourhoods",NA
3,"still",NA
3,"like","positive"
3,"like",NA
3,"this",NA
3,"HintonAB",NA
3,"and",NA
3,"worry","anticipation"
3,"worry","fear"
3,"worry","negative"
3,"worry","sadness"
3,"worry","negative"
3,"worry",NA
3,"worry","negative"
3,"weve",NA
3,"learned",NA
3,"nothing",NA
3,"at",NA
3,"all",NA
3,"about",NA
3,"abfire",NA
3,"preparedness","anticipation"
3,"ymmfire",NA
3,"SlaveLake",NA
3,"yeg",NA
3,"pictwittercomKNRke7jCC5",NA
4,"Warm",NA
4,"January",NA
4,"day",NA
4,"to",NA
4,"explore","anticipation"
4,"the",NA
4,"trails",NA
4,"burned","negative"
4,"burned","negative"
4,"out",NA
4,"by",NA
4,"the",NA
4,"ymmfire",NA
4,"in…",NA
4,"httpswww",NA
4,"instagramcompBP3PzYGhMuBF",NA
4,"mMD3zPPN9x0KjBIFeOTswF2XU0",NA
4,"…",NA
5,"Generosity",NA
5,"is",NA
5,"fundamental","positive"
5,"fundamental","trust"
5,"to",NA
5,"humans",NA
5,"Normal",NA
5,"human",NA
5,"response",NA
5,"to",NA
5,"tragedy","fear"
5,"tragedy","negative"
5,"tragedy","sadness"
5,"tragedy","negative"
5,"tragedy",NA
5,"tragedy","negative"
5,"is",NA
5,"generosity","anticipation"
5,"generosity","joy"
5,"generosity","positive"
5,"generosity","surprise"
5,"generosity","trust"
5,"generosity","positive"
5,"you",NA
5,"saw",NA
5,"during",NA
5,"ymmfire",NA
5,"ymm",NA
5,"erlcpl",NA
5,"fmcsd",NA
5,"pictwittercomf9qH27wL6D",NA
6,"Canada’s",NA
6,"costliest",NA
6,"disaster","anger"
6,"disaster","disgust"
6,"disaster","fear"
6,"disaster","negative"
6,"disaster","sadness"
6,"disaster","surprise"
