"tweets","words","sentiment"
1,"Proud",NA
1,"that",NA
1,"Dr",NA
1,"Clark",NA
1,"has",NA
1,"been",NA
1,"given",NA
1,"the",NA
1,"opportunity","anticipation"
1,"opportunity","positive"
1,"opportunity",NA
1,"opportunity","positive"
1,"to",NA
1,"present","anticipation"
1,"present","joy"
1,"present","positive"
1,"present","surprise"
1,"present","trust"
1,"findings",NA
1,"from",NA
1,"the",NA
1,"Indigenous",NA
1,"Wildfire",NA
1,"Assessment",NA
1,"to",NA
1,"RMWB",NA
1,"Council",NA
1,"this",NA
1,"afternoon",NA
1,"To",NA
1,"learn","positive"
1,"more",NA
1,"about",NA
1,"this",NA
1,"research",NA
1,"please",NA
1,"visit","positive"
1,"httpwww",NA
1,"willowspringssscomblog",NA
1,"",NA
1,"ymm",NA
1,"ymmfire",NA
