"tweets","words","sentiment"
1,"Thank",NA
1,"You",NA
1,"for",NA
1,"everything",NA
1,"you",NA
1,"did",NA
1,"for",NA
1,"our",NA
1,"customers",NA
1,"community","positive"
1,"and",NA
1,"Team",NA
1,"during",NA
1,"ymmfire",NA
1,"",NA
1,"Rockstar",NA
1,"SVPMVP",NA
1,"therealamandae",NA
1,"https",NA
1,"twittercomtherealamanda",NA
1,"estatus803735956998103040",NA
1,"…",NA
2,"I",NA
2,"wrote",NA
2,"this",NA
2,"yesterday",NA
2,"while",NA
2,"reflecting",NA
2,"on",NA
2,"Elsie",NA
2,"Yanik’s",NA
2,"Lesson",NA
2,"of",NA
2,"Kindness",NA
2,"I",NA
2,"hope","anticipation"
2,"hope","joy"
2,"hope","positive"
2,"hope","surprise"
2,"hope","trust"
2,"hope",NA
2,"you",NA
2,"enjoy","anticipation"
2,"enjoy","joy"
2,"enjoy","positive"
2,"enjoy","trust"
2,"enjoy","positive"
2,"enjoy",NA
2,"enjoy","positive"
2,"ymm",NA
2,"ymmfire",NA
2,"httpwww",NA
2,"willowspringssscom1post201611",NA
2,"elsieyanikslessonofkindnesshtml",NA
2,"…",NA
3,"GatlinburgTN",NA
3,"Sending",NA
3,"thoughts",NA
3,"and",NA
3,"strength","positive"
3,"strength","trust"
3,"strength",NA
3,"strength","positive"
3,"from",NA
3,"ymm",NA
3,"",NA
3,"we",NA
3,"share","anticipation"
3,"share","joy"
3,"share","positive"
3,"share","trust"
3,"share",NA
3,"your",NA
3,"pain","fear"
3,"pain","negative"
3,"pain","sadness"
3,"pain","negative"
3,"pain",NA
3,"as",NA
3,"we",NA
3,"experienced","positive"
3,"experienced","trust"
3,"ymmfire",NA
3,"in",NA
3,"May16",NA
3,"Stay",NA
3,"safe","joy"
3,"safe","positive"
3,"safe","trust"
3,"safe","positive"
3,"safe",NA
3,"stay",NA
3,"strong","positive"
3,"strong",NA
3,"strong","positive"
4,"",NA
4,"Gatlinburg",NA
4,"looks",NA
4,"A",NA
4,"LOT",NA
4,"like","positive"
4,"like",NA
4,"Fort",NA
4,"McMurray",NA
4,"Alberta",NA
4,"after",NA
4,"FortMacFire",NA
4,"ymmfire",NA
4,"",NA
4,"Town",NA
4,"shd",NA
4,"look",NA
4,"to",NA
4,"abndpcaucus",NA
4,"for",NA
4,"tips",NA
4,"moving",NA
4,"forward","positive"
5,"As",NA
5,"a",NA
5,"survivor","positive"
5,"survivor",NA
5,"and",NA
5,"witness","trust"
5,"witness","litigious"
5,"of",NA
5,"the",NA
5,"ymmfire",NA
5,"",NA
5,"my",NA
5,"heart",NA
5,"is",NA
5,"breaking","negative"
5,"breaking","negative"
5,"for",NA
5,"the",NA
5,"people",NA
5,"of",NA
5,"Gatlinburg",NA
5,"and",NA
5,"surrounding",NA
5,"area",NA
5,"Stay",NA
5,"safe","joy"
5,"safe","positive"
5,"safe","trust"
5,"safe","positive"
5,"safe",NA
5,"stay",NA
5,"strong","positive"
5,"strong",NA
5,"strong","positive"
6,"Gatlinburg",NA
6,"wildfires",NA
6,"bringing",NA
6,"back",NA
6,"ymmfire",NA
6,"memories",NA
6,"Stay",NA
6,"safe","joy"
6,"safe","positive"
6,"safe","trust"
6,"safe","positive"
6,"safe",NA
6,"TN",NA
6,"prayforrain",NA
6,"https",NA
6,"twittercomMatthewKickst",NA
6,"atus803672828054618112",NA
6,"…",NA
7,"Congrats",NA
7,"MattHalwachsTD",NA
7,"",NA
7,"therealamandae",NA
7,"on",NA
7,"your",NA
7,"SVP",NA
