"tweets","words","sentiment"
1,"8",NA
1,"Advised",NA
1,"several",NA
1,"government","fear"
1,"government","negative"
1,"agencies",NA
1,"including","positive"
1,"during",NA
1,"the",NA
1,"hellacious",NA
1,"2016",NA
1,"Fort",NA
1,"McMurray",NA
1,"wildfire","fear"
1,"wildfire","negative"
1,"wildfire","sadness"
1,"wildfire","surprise"
1,"ymmfire",NA
2,"Irony",NA
2,"of",NA
2,"ironies","negative"
2,"the",NA
2,"keychain",NA
2,"my",NA
2,"home",NA
2,"builder",NA
2,"gave",NA
2,"me",NA
2,"just",NA
2,"broke","fear"
2,"broke","negative"
2,"broke","sadness"
2,"broke","negative"
2,"broke",NA
2,"ymm",NA
2,"ymmfire",NA
3,"Love",NA
3,"your",NA
3,"proposal",NA
3,"check",NA
3,"out",NA
3,"ours",NA
3,"https",NA
3,"bitly2wdzw4n",NA
3,"lessons",NA
3,"from",NA
3,"the",NA
3,"ymmfire",NA
3,"with",NA
3,"sarafalconer",NA
4,"El",NA
4,"humo",NA
4,"del",NA
4,"incendio",NA
4,"de",NA
4,"Fort",NA
4,"McMurray",NA
4,"ymmfire",NA
4,"también",NA
4,"llegó",NA
4,"hasta",NA
4,"la",NA
4,"península",NA
4,"https",NA
4,"twittercomnchazarrastat",NA
4,"us1031244679923335168s19",NA
4,"…",NA
5,"The",NA
5,"study","positive"
5,"we",NA
5,"okay",NA
5,"at",NA
5,"least",NA
5,"I",NA
5,"have",NA
5,"been",NA
5,"waiting",NA
5,"for",NA
5,"a",NA
5,"climatechange",NA
5,"attribution",NA
5,"study","positive"
5,"for",NA
5,"the",NA
5,"FortMac",NA
5,"wildfire","fear"
5,"wildfire","negative"
5,"wildfire","sadness"
5,"wildfire","surprise"
5,"Yes",NA
5,"the",NA
5,"warm","positive"
5,"warm",NA
5,"spring",NA
5,"which",NA
5,"led","positive"
5,"to",NA
5,"ymmfire",NA
5,"was",NA
5,"related","trust"
5,"to",NA
5,"humandriven",NA
5,"climate",NA
5,"change","fear"
5,"actonclimate",NA
5,"bcfires",NA
5,"abpoli",NA
5,"httpswww",NA
5,"sciencedirectcomsciencearticl",NA
5,"epiiS0168192318302016",NA
5,"…",NA
6,"I",NA
6,"know",NA
6,"that",NA
6,"you",NA
6,"cantfixstupid",NA
6,"",NA
6,"but",NA
6,"can",NA
6,"we",NA
6,"PLEASE",NA
6,"stop",NA
6,"flicking",NA
6,"cigarette","negative"
6,"butts",NA
6,"out",NA
6,"of",NA
6,"our",NA
6,"vehicles",NA
6,"Have",NA
6,"we",NA
6,"learned",NA
6,"nothing",NA
6,"from",NA
6,"ymmfire",NA
6,"",NA
