"tweets","words","sentiment"
1,"Do",NA
1,"I",NA
1,"think",NA
1,"warming",NA
1,"hurts","negative"
1,"hurts",NA
1,"Alberta",NA
1,"Absolutely",NA
1,"Expect",NA
1,"more",NA
1,"flooding",NA
1,"Calgaryflood",NA
1,"More",NA
1,"fires",NA
1,"ymmfire",NA
1,"More",NA
1,"drought","negative"
1,"drought","negative"
1,"drought","negative"
1,"httpswww",NA
1,"cbccanewscanadaca",NA
1,"lgaryalbertadroughtpreparation14790237",NA
1,"…",NA
2,"httpswww",NA
2,"gofundmecommemorialford",NA
2,"arrenandersonpctwdncpgnsharemorerrcidr011537628979080dd30c9c9c0f4821",NA
2,"…",NA
2,"Darren",NA
2,"was",NA
2,"one",NA
2,"of",NA
2,"the",NA
2,"firefighters",NA
2,"that",NA
2,"went",NA
2,"to",NA
2,"fight","anger"
2,"fight","fear"
2,"fight","negative"
2,"fight",NA
2,"the",NA
2,"ymmfire",NA
2,"His",NA
2,"daughter","joy"
2,"daughter","positive"
2,"Sofia",NA
2,"sent",NA
2,"her",NA
2,"Grade",NA
2,"one",NA
2,"tree","anger"
2,"tree","anticipation"
2,"tree","disgust"
2,"tree","joy"
2,"tree","positive"
2,"tree","surprise"
2,"tree","trust"
2,"up",NA
2,"with",NA
2,"her",NA
2,"Dad",NA
2,"for",NA
2,"him",NA
2,"to",NA
2,"plant",NA
2,"It",NA
2,"was",NA
2,"the",NA
2,"sweetest",NA
2,"gesture",NA
2,"hopetree",NA
2,"I",NA
2,"know",NA
2,"that",NA
2,"Darrens",NA
2,"character",NA
2,"will",NA
2,"live",NA
2,"on",NA
2,"in",NA
2,"his",NA
2,"3",NA
2,"amazing","positive"
2,"amazing",NA
2,"daughters",NA
3,"Every",NA
3,"participant",NA
3,"in",NA
3,"this",NA
3,"weekends",NA
3,"Fort",NA
3,"McMurray",NA
3,"Marathon",NA
3,"walked",NA
3,"away",NA
3,"with",NA
3,"a",NA
3,"sapling",NA
3,"to",NA
3,"plant",NA
3,"as",NA
3,"part",NA
3,"of",NA
3,"reforestation",NA
3,"efforts",NA
3,"http",NA
3,"cbcca14825027",NA
3,"ymm",NA
3,"ymmfire",NA
3,"RMWoodBuffalo",NA
3,"pictwittercomE4cJG7jHf3",NA
4,"1",NA
4,"Its",NA
4,"kind","joy"
4,"kind","positive"
4,"kind","trust"
4,"kind",NA
4,"of",NA
4,"a",NA
4,"Can",NA
4,"We",NA
4,"Evacuate",NA
4,"Manhattan",NA
4,"question","positive"
4,"question","negative"
4,"The",NA
4,"YMMfire",NA
4,"evacuation","negative"
4,"got",NA
4,"everyone",NA
4,"our",NA
4,"of",NA
4,"their",NA
4,"Hospital",NA
4,"",NA
4,"but",NA
4,"their",NA
4,"patientnumbers",NA
4,"were",NA
4,"low",NA
4,"https",NA
4,"globalnewscanews2690893h",NA
4,"eroicmeasurespraisedduringthefortmcmurrayhospitalevacuation",NA
4,"…",NA
5,"That",NA
5,"is",NA
5,"my",NA
5,"first",NA
5,"notice",NA
5,"from",NA
5,"AccessibilityLens",NA
5,"since",NA
5,"ymmfire",NA
5,"",NA
5,"That",NA
5,"gave",NA
5,"us",NA
5,"RED",NA
5,"flag",NA
5,"about",NA
5,"RachelNotley",NA
5,"s",NA
5,"attitude",NA
5,"toward",NA
5,"Deaf",NA
5,"",NA
5,"Accessibility",NA
5,"people",NA
5,"lately",NA
5,"My",NA
5,"first",NA
5,"impression","positive"
5,"of",NA
5,"Rachel",NA
5,"disregarding",NA
5,"disregarding","negative"
5,"about",NA
5,"Alberta",NA
5,"Emergency",NA
5,"events",NA
5,"",NA
5,"ymmfire",NA
5,"without",NA
5,"SL",NA
5,"Interpreters",NA
5,"Ableg",NA
5,"pictwittercomPGBX8psk7I",NA
