"tweets","words","sentiment"
1,"An",NA
1,"interesting","positive"
1,"interesting","positive"
1,"interesting",NA
1,"example",NA
1,"of",NA
1,"local",NA
1,"CSR",NA
1,"by",NA
1,"MNEs",NA
1,"in",NA
1,"a",NA
1,"disaster","anger"
1,"disaster","disgust"
1,"disaster","fear"
1,"disaster","negative"
1,"disaster","sadness"
1,"disaster","surprise"
1,"disaster","negative"
1,"disaster",NA
1,"disaster","negative"
1,"context",NA
1,"Harvey2017",NA
1,"Similar",NA
1,"to",NA
1,"what",NA
1,"we",NA
1,"saw",NA
1,"in",NA
1,"ymmfire",NA
1,"http",NA
1,"thehillcomblogsblogbri",NA
1,"efingroom348348anheuserbuschsendswatercanstoharveyvictimsamp",NA
1,"…",NA
2,"What",NA
2,"we",NA
2,"take",NA
2,"and",NA
2,"what",NA
2,"we",NA
2,"leave","negative"
2,"leave","sadness"
2,"leave","surprise"
2,"leave",NA
2,"behind",NA
2,"Memorializing",NA
2,"Abasand",NA
2,"ymm",NA
2,"ymmfire",NA
2,"http",NA
2,"yourmcmurraymagazinecomindexphpopti",NA
2,"oncomk2viewitemid2006whatwetakeandwhatweleavebehindmemorializingabasandjune2016august2016Itemid780",NA
2,"…",NA
3,"StrathearnArtWalk",NA
3,"sponsor","positive"
3,"sponsor","trust"
3,"Swift",NA
3,"Oilfiled",NA
3,"Supply",NA
3,"is",NA
3,"lending",NA
3,"us",NA
3,"the",NA
3,"same",NA
3,"trailer",NA
3,"we",NA
3,"used",NA
3,"last",NA
3,"year",NA
3,"for",NA
3,"our",NA
3,"Ymmfire",NA
3,"donation","positive"
3,"drive",NA
3,"",NA
3,"thanks",NA
4,"One",NA
4,"year",NA
4,"ago",NA
4,"today",NA
4,"was",NA
4,"a",NA
4,"beautiful","joy"
4,"beautiful","positive"
4,"beautiful","positive"
4,"beautiful",NA
4,"beautiful","positive"
4,"day",NA
4,"of",NA
4,"celebration","anticipation"
4,"celebration","joy"
4,"celebration","positive"
4,"celebration","surprise"
4,"celebration","trust"
4,"celebration","positive"
4,"for",NA
4,"the",NA
4,"FMCSD",NA
4,"family",NA
4,"We",NA
4,"celebrated","anticipation"
4,"celebrated","joy"
4,"celebrated","positive"
4,"celebrated","positive"
4,"celebrated",NA
4,"Grad2016",NA
4,"at",NA
4,"home",NA
4,"WeAreFMCSD",NA
4,"ymm",NA
4,"ymmfire",NA
4,"pictwittercomQf9lwBJfgk",NA
5,"First",NA
5,"time","anticipation"
5,"seeing",NA
5,"the",NA
5,"aftermath","anger"
5,"aftermath","disgust"
5,"aftermath","fear"
5,"aftermath","negative"
5,"aftermath","sadness"
5,"aftermath","negative"
5,"of",NA
5,"the",NA
5,"YMMfire",NA
5,"for",NA
5,"myself",NA
5,"Sobering",NA
5,"http",NA
5,"ifttt2vWQ9ke",NA
5,"pictwittercombO6Z7BjAc1",NA
6,"470",NA
6,"days",NA
6,"between",NA
6,"The",NA
6,"Beast",NA
6,"and",NA
6,"being",NA
6,"a",NA
6,"home",NA
6,"owner",NA
6,"again",NA
6,"YMM",NA
6,"YMMFire",NA
6,"YMMRebuild",NA
6,"pictwittercomwMkR92QKoV",NA
7,"President",NA
7,"Macdonald",NA
7,"discussing",NA
7,"AlbertaFFA",NA
7,"role",NA
7,"in",NA
7,"the",NA
7,"ymmfire",NA
7,"at",NA
7,"the",NA
7,"2017",NA
7,"Redmond",NA
7,"IAFFRedmond17",NA
7,"pictwittercom2eYL6XBYSu",NA
8,"FMFA2494",NA
8,"President",NA
8,"Van",NA
8,"Hecke",NA
8,"sharing",NA
8,"his",NA
8,"experiences",NA
8,"during",NA
8,"the",NA
8,"ymmfire",NA
8,"at",NA
8,"the",NA
8,"IAFFRedmond17",NA
8,"pictwittercomPNznJG2xNU",NA
9,"With",NA
9,"wildfires",NA
9,"getting",NA
9,"bigger",NA
9,"faster","positive"
9,"and",NA
9,"hotteris",NA
9,"this",NA
9,"the",NA
9,"new",NA
9,"normal",NA
9,"Well",NA
9,"discuss",NA
9,"exactly",NA
9,"that",NA
9,"at",NA
9,"11pm",NA
9,"wildfire","fear"
9,"wildfire","negative"
9,"wildfire","sadness"
9,"wildfire","surprise"
