"tweets","words","sentiment"
1,"The",NA
1,"Fort",NA
1,"McMurray",NA
1,"ep",NA
1,"of",NA
1,"StillStandingTV",NA
1,"was",NA
1,"on",NA
1,"tv",NA
1,"last",NA
1,"night",NA
1,"and",NA
1,"I",NA
1,"watched",NA
1,"cause",NA
1,"my",NA
1,"brother","positive"
1,"brother","trust"
1,"hadn’t",NA
1,"ever",NA
1,"seen",NA
1,"it",NA
1,"When",NA
1,"the",NA
1,"real","positive"
1,"real","trust"
1,"emotional",NA
1,"stuff",NA
1,"about",NA
1,"the",NA
1,"kids",NA
1,"dying","anger"
1,"dying","disgust"
1,"dying","fear"
1,"dying","negative"
1,"dying","sadness"
1,"dying","negative"
1,"cane","anger"
1,"cane","fear"
1,"up",NA
1,"I",NA
1,"grabbed",NA
1,"the",NA
1,"bag",NA
1,"of",NA
1,"cheesies",NA
1,"without",NA
1,"thinking",NA
1,"and",NA
1,"started",NA
1,"stuffing",NA
1,"my",NA
1,"face",NA
1,"evacfat",NA
1,"is",NA
1,"real","positive"
1,"real","trust"
1,"ymmfire",NA
2,"He",NA
2,"didn’t",NA
2,"come",NA
2,"visit","positive"
2,"me",NA
2,"after",NA
2,"the",NA
2,"ymmfire",NA
2,"",NA
2,"He’s",NA
2,"not",NA
2,"remotely",NA
2,"interested","disgust"
2,"interested","positive"
2,"interested","sadness"
2,"interested",NA
2,"in",NA
2,"getting",NA
2,"to",NA
2,"know",NA
2,"me",NA
2,"Not",NA
2,"before",NA
2,"the",NA
2,"cancer","anger"
2,"cancer","disgust"
2,"cancer","fear"
2,"cancer","negative"
2,"cancer","sadness"
2,"cancer","negative"
2,"cancer",NA
2,"and",NA
2,"certainly",NA
2,"not",NA
2,"now",NA
2,"I",NA
2,"don’t",NA
2,"know",NA
2,"why",NA
2,"it",NA
2,"still",NA
2,"hurts","negative"
2,"hurts",NA
2,"I",NA
2,"don’t",NA
2,"know",NA
2,"why",NA
2,"I",NA
2,"still",NA
2,"let",NA
2,"it",NA
2,"hurt","anger"
2,"hurt","fear"
2,"hurt","negative"
2,"hurt","sadness"
2,"hurt","negative"
2,"hurt",NA
2,"hurt","negative"
2,"me",NA
3,"The",NA
3,"YMMfire",NA
3,"impacted",NA
3,"a",NA
3,"lot",NA
3,"of",NA
3,"people",NA
3,"a",NA
3,"lot",NA
3,"of",NA
3,"different",NA
3,"ways",NA
3,"For",NA
3,"Tony",NA
3,"Bussey",NA
3,"it",NA
3,"ignited",NA
3,"a",NA
3,"passion","anticipation"
3,"passion","joy"
3,"passion","positive"
3,"passion","trust"
3,"passion","positive"
3,"for",NA
3,"wellness",NA
3,"that",NA
3,"has",NA
3,"resulted",NA
3,"in",NA
3,"unparalleled","positive"
3,"unparalleled","positive"
3,"weight","anticipation"
3,"weight","disgust"
3,"weight","fear"
3,"weight","joy"
3,"weight","negative"
3,"weight","positive"
3,"weight","sadness"
3,"weight","surprise"
3,"weight","trust"
3,"loss","anger"
3,"loss","fear"
3,"loss","negative"
3,"loss","sadness"
3,"loss","negative"
3,"loss",NA
3,"loss","negative"
3,"and",NA
3,"a",NA
3,"changed",NA
3,"life",NA
3,"Host",NA
3,"Russell",NA
3,"Thomas",NA
3,"will",NA
3,"visit","positive"
3,"with",NA
3,"Tony",NA
3,"on",NA
3,"todays",NA
3,"episode",NA
3,"of",NA
3,"IMPACT",NA
3,"at",NA
3,"1030",NA
3,"am",NA
3,"on",NA
3,"911TheBridge",NA
3,"",NA
3,"pictwittercomRPYkYl7jo6",NA
4,"The",NA
4,"ymmfire",NA
4,"ignited",NA
4,"a",NA
4,"passion","anticipation"
4,"passion","joy"
4,"passion","positive"
4,"passion","trust"
4,"passion","positive"
4,"for",NA
4,"wellness",NA
4,"that",NA
4,"changed",NA
4,"Tony",NA
4,"Busseys",NA
4,"life",NA
4,"and",NA
4,"transformed",NA
4,"his",NA
4,"body",NA
4,"Well",NA
4,"hear",NA
4,"his",NA
4,"story",NA
4,"on",NA
4,"IMPACT",NA
4,"at",NA
4,"1030",NA
4,"on",NA
4,"911TheBridge",NA
4,"",NA
4,"FMUnitedWay",NA
4,"FuseSocialYMM",NA
4,"ShawTVFortMc",NA
4,"ymmmagazine",NA
4,"ymm",NA
4,"pictwittercom71arp1Do8A",NA
