"tweets","words","sentiment"
1,"ymm",NA
1,"ymmfire",NA
1,"ableg",NA
1,"ucp",NA
1,"abndp",NA
1,"abparty",NA
1,"https",NA
1,"twittercomJasonVdzwaags",NA
1,"tatus924827382661435394",NA
1,"…",NA
2,"Anyone",NA
2,"remember",NA
2,"the",NA
2,"Press",NA
2,"conference",NA
2,"with",NA
2,"BrianJeanAB",NA
2,"",NA
2,"RachelNotley",NA
2,"after",NA
2,"ymmfire",NA
2,"",NA
2,"Jean",NA
2,"was",NA
2,"crying","negative"
2,"crying","sadness"
2,"crying",NA
2,"Actually",NA
2,"crying","negative"
2,"crying","sadness"
2,"crying",NA
2,"Raw",NA
2,"emotition",NA
3,"Welcome",NA
3,"home",NA
3,"Poppy",NA
3,"scarlettbuilthomes",NA
3,"ymmfire",NA
3,"ymmrebuild",NA
3,"Fort",NA
3,"mcmurray",NA
3,"alberta",NA
3,"httpswww",NA
3,"instagramcompBazGSxRD529",NA
4,"fortmcmurray",NA
4,"ymmfire",NA
4,"ableg",NA
4,"abpoli",NA
4,"https",NA
4,"twittercomLaurelCoonsst",NA
4,"atus924048721091940352",NA
4,"…",NA
5,"Siding",NA
5,"So",NA
5,"exciting","anticipation"
5,"exciting","joy"
5,"exciting","positive"
5,"exciting","surprise"
5,"exciting","positive"
5,"exciting",NA
5,"exciting","positive"
5,"to",NA
5,"see",NA
5,"progress","anticipation"
5,"progress","joy"
5,"progress","positive"
5,"progress","positive"
5,"progress",NA
5,"progress","positive"
5,"home",NA
5,"ournewplace",NA
5,"ymmfire",NA
5,"…",NA
5,"httpswww",NA
5,"instagramcompBauZfWDBAYPi",NA
5,"rRrbOeg4pycutpT2oXcCnQyAlc0",NA
5,"…",NA
6,"",NA
6,"InsuranceBureau",NA
6,"s",NA
6,"Western",NA
6,"VP",NA
6,"Bill",NA
6,"Adams",NA
6,"on",NA
6,"Role",NA
6,"of",NA
6,"insurance",NA
6,"industry",NA
6,"during",NA
6,"",NA
6,"post",NA
6,"ymmfire",NA
6,"at",NA
6,"Saskatchewan",NA
6,"Emergency",NA
6,"Planners",NA
6,"Assoc",NA
6,"pictwittercomLxjK2kVq7R",NA
7,"Seeing",NA
7,"whole",NA
7,"trees",NA
7,"fall","negative"
7,"fall","sadness"
7,"fall","negative"
7,"due",NA
7,"to",NA
7,"wind",NA
7,"along",NA
7,"hwy63",NA
7,"in",NA
7,"areas",NA
7,"affected",NA
7,"by",NA
7,"ymmfire",NA
7,"stay",NA
7,"out",NA
7,"of",NA
7,"the",NA
7,"forest",NA
7,"",NA
7,"off",NA
7,"trails",NA
7,"ymm",NA
8,"The",NA
8,"Fubar",NA
8,"boys",NA
8,"take",NA
8,"on",NA
8,"yyc",NA
8,"after",NA
8,"fleeing","negative"
8,"ymmfire",NA
8,"",NA
8,"Too",NA
8,"soon",NA
8,"for",NA
8,"wildfire","fear"
8,"wildfire","negative"
8,"wildfire","sadness"
8,"wildfire","surprise"
8,"jokes",NA
8,"or",NA
8,"all",NA
8,"in",NA
8,"good","anticipation"
8,"good","joy"
8,"good","positive"
8,"good","surprise"
8,"good","trust"
8,"good","positive"
8,"good",NA
8,"good","positive"
8,"fun","anticipation"
8,"fun","joy"
8,"fun","positive"
8,"fun","positive"
8,"fun",NA
8,"ymm",NA
8,"",NA
8,"yeg",NA
8,"ableg",NA
8,"foul","anger"
8,"foul","disgust"
8,"foul","fear"
8,"foul","negative"
8,"foul","negative"
8,"language",NA
8,"https",NA
8,"twittercomvicelandcast",NA
8,"atus918174374640828416",NA
8,"…",NA
9,"CaliforniaFires",NA
9,"remind",NA
9,"me",NA
9,"of",NA
9,"ymmfire",NA
9,"",NA
9,"Real",NA
9,"life",NA
9,"horror","anger"
9,"horror","disgust"
9,"horror","fear"
9,"horror","negative"
9,"horror","sadness"
9,"horror","surprise"
9,"FirstResponders",NA
9,"are",NA
9,"real","positive"
9,"real","trust"
9,"life",NA
9,"heroes",NA
10,"Edmonton",NA
10,"is",NA
10,"an",NA
10,"incredible","positive"
10,"incredible","positive"
10,"city",NA
10,"Couldnt",NA
10,"have",NA
10,"been",NA
10,"treated",NA
10,"better","positive"
10,"better",NA
10,"better","positive"
10,"by",NA
10,"the",NA
10,"people",NA
10,"there",NA
10,"during",NA
10,"the",NA
10,"YMMFire",NA
10,"evacuation","negative"
10,"https",NA
10,"twittercomEdmontonOilers",NA
10,"status914614385796173824",NA
10,"…",NA
